essay_id,essay_set,essay,rater1_domain1,rater2_domain1,rater3_domain1,domain1_score,rater1_domain2,domain2_score,rater1_trait1,rater1_trait2,rater1_trait3,rater1_trait4,rater1_trait5,rater1_trait6,rater2_trait1,rater2_trait2,rater2_trait3,rater2_trait4,rater2_trait5,rater2_trait6,rater3_trait1,rater3_trait2,rater3_trait3,rater3_trait4,rater3_trait5,rater3_trait6,comments
3769,2,"My views are that if it is offensive to someone or other people the certain maeterial shouldn't be taken off the shelf. I think you should have to have permission from a parent, or guardian if the material is explicit. For example in a store where you buy cd's, games ect... you have to be of age to buy the material that should be the same with books.          Say a book has a certain word on it like '@CAPS1' it shouldnt be taken off the shelf just because of its name. That brings up the subject don't judge a book by its cover. Just because the name isn't to someones standards it shouldn't matter. Pick the book up read the back and see what it's actualy about. Then if it's what you was exspecting it to be talk to someone who is in charge, and explain top them what the problem is in your case.     Also you could always have a section of the store, or librarie just for adults only. It @MONTH1 sound stupid, but it can actualy help out alot. There is tons of books out there that have things in them not appropriate for children. Such as love books, they talk about love, and passion in ways that are very innappropriate for children.      If there was a section of a store or librarie it could help keep these things out of your children, or other childrens minds. You or anyone else wouldnt have to worry about children picking certain material up that you wouldn't want them to see. Just keep this in mind next time your in a librarie and you see something you wouldn't like for your children to see",3,3,,3,4.0,4.0,,,,,,,,,,,,,,,,,,,"ID1,ORG2,STY1"
10470,4,"The reason why the author concludes the story with this paragraph is because the author feels that saeng will pass the test if she has the hibiscus with her, she thinks that because the hibiscus has something unique about it. And as also gives her memory of where she used to live before she had moved to the @ORGANIZATION1. Saeng had seemed out of place she did not know what to do.",1,1,,1,,,,,,,,,,,,,,,,,,,,,"ID2,ORG2,STY2"
7095,3,"The features of the setting affect the cyclist. One way is that the ìrolling hillsî @MONTH1 let the rider get more tired. Another way is that of water from severe heat. And finally the path you take along the way and how many stops you make along the way. The heat, lack of water, rolling hills, and the advice you get can result badly by affecting the outcome. A rider should make a plan and use determination to get to where they need to go.",2,2,,2,,,,,,,,,,,,,,,,,,,,,"ID2,ORG2,STY3"
15080,6,"There are many reasons Why the builder's faced many obstacles in attempting to allow dirigibles to dock there. In paragraph @NUM1 the excerpt states that most dirigibles from outside of the United states use hydrogen rather than helium, and hydrogen is highly flammable. The hydrogen can cause a fire and destroy the Empire State building and can destroy downtown New York. Another reason why the builder's faced obstacles in attempting to allow dirigibles to dock there is because it was against the law. In paragraph @NUM2 the exerpt states there was an existing law against airships flying too low over urban areas. This could be dangerous to the citizens of downtown New York.",3,2,,3,,,,,,,,,,,,,,,,,,,,,"ID2,ORG2,STY2"
10584,4,"Saeng concluded the story with that paragraph because it shows what she has just been through and feels she could go through it again. If she fails the driving test again, then she use the plants to overcome her problems. She @MONTH1 actually pass the test this time. The unique plants show that she is stronger than she thinks and believes now that she feels comfortable with the plants that bring back memories of her childhood.",1,1,,1,,,,,,,,,,,,,,,,,,,,,"ID1,ORG2,STY1"
12390,5,"Rodriguez creates a greatful and playful mood in this memoir. For example, in the second paragraph, Rodriguez writes about how his parents cooked, and the music they played In paranthesis, he adds his @CAPS1 about he was greatful for his parents love of cooking and how he still adores the passionate music his parents played. In paragraph @NUM1, the author writes about the closeness and kindness of his neighborhood. He talks about how everyone was an immigrant and faced segregation, but were always willing to lend a helping hand. Towards the end, in paragraph six Rodriguez is greatful to his parents for the love and sacrifices for him. In conclusion, Rodriguez adores the home his parents created for him.",2,2,,2,,,,,,,,,,,,,,,,,,,,,"ID1,ORG2,STY2"
3548,2,"Do I believe that vertain materials should be removed from the shelves of libraries if found offensive? I believe that all types of materials should be placed in libraries to satisfy the different styles of what people like. Censorship should not play a role because everyone has their own opinions on what is looked at as offensive and what is not. By giving everyone the freedom to enjoy what they like will make alot of people happier.      The wants and needs of people varie from one extreme to the other. What one person loves, another @MONTH1 hate. This should not play a role in whether or not materials should be removed from public places such as a library. Everyone has the right to express themselves through art in their own way. Taking away the art that some find offensive would not be fair to those who enjoy it. By doing this, not all people will be satisfied when not everyone gets what they want.     Censorship should not take part in any library. Entertainment can not always please everyone. It will be judged in many ways no matter what anyone has to say, so the problem should just be left alone. Arguing to take away the material that some like will only cause tension to rise and make matters worse. It is understandable, for example, that a parent would not want their child to be able to be welcomed into the media world where not everything has postive influences. That's life though and not everyone has th same outlook on it. You have to think of others, and respect their view of it all as well.     Opinons will vary with what I have had to say. I strongly believe that people should be given the right to enjoy the materials they take an interest in. Censorship definitely has its positives and negatives, but for the most part it is wrong and should not have a role in any library. Cutting down people's availability to their interests will only lead to frustration. You can not please everyone, so in that case, censorship will just have to be looked beyond.",3,3,,3,4.0,4.0,,,,,,,,,,,,,,,,,,,"ID2,ORG2,STY2"
7137,3,The settings of the story is very desert like what I mean by that is its the desert and its hot and he really had to push his self to make it. The condition at the rode are very rough and has a lotof shape turn it in. Apart in the story he gets a boost of energy and pedal as hard as he can down a hill and then relaxes. This is the setting and is summary of the story.,0,0,,0,,,,,,,,,,,,,,,,,,,,,"ID3,ORG2,STY3"
11893,5,"The mood of the memoir by @PERSON1 is love and compassion for his parents. He tells how he grew up with pride for Cuba and how he still loves Cuban music. His parents gave him these qualities which he adores but he is ""eternally grateful for his rich culinary skills that were passed on to him by his parents. @PERSON1 also talked about the role of ""family"" in the environment in which he grew up in. In his neighborhood, many people were the victims of racism, so they all came together to be a stronger whole. By growing up like this he learned how to give a helping hand to those who were in need. @PERSON1 also told the reader of the courage his parents had by leaving everything they knew and loved behind and how he wished he could have that same courage, but at least he knew of it.",3,3,,3,,,,,,,,,,,,,,,,,,,,,"ID1,ORG1,STY2"
4122,2,"Should certain materials, such as books, music, movies, magazines, etc., be removed from shelves if they are found offensive?     I do not think that certain materials should be removed for many reasons. Many different people have many different thoughts on whats offensive and what isn't like some people will find something funny that some people @MONTH1 think is nasty or inapropiate. If you was to take things off the shelves that someone found offensive there probably wouldn't be much left on the shelves because everybody has they're own oppenion. I agree that certain things shouldn't be seen by young eyes but thats the parents decision, not everyone has the same view on the material.     Certian materials should not be removed from shelves because of one persons oppenion on it. Everyone has they're own oppenion, some people like what other people don't everyone is different in they're own way",3,3,,3,3.0,3.0,,,,,,,,,,,,,,,,,,,"ID2,ORG2,STY3"
