essay_id,essay_set,essay,rater1_domain1,rater2_domain1,domain1_score,comments
280,1,"Dear @LOCATION1, I believe computers have a positive effect on people. They teach hand-eye coordination. Computers give people the ability to learn about far away places and people. They even allow people to talk online. Computers are a very usefull piece of machinery. Computers teach hand-eye coordination. When your in school, you need to type lots of @CAPS1 prompts, @CAPS2 labs, and @CAPS3 @CAPS4 vocab. Computers help us do that. Typing fast and correctly takes practice. Typing without looking at the keyboard is hand-eye coordination. This will help us later on in life also. Whether it's typing term papers in high school or your application essay for college, you will need the help of computers. Computers give people the ability to learn about far away places. @NUM1 years ago I look a trip to @LOCATION3 for the first time. I didn't know a lot about the history of @LOCATION3 so I sat down at my desk and turned on my computer. Suddenly, it was like I was in @LOCATION3! I read about the delicious food and rich culture. I took a virtual tour of the @CAPS5 @CAPS6 and the great @CAPS7. I heard @CAPS8 music and learned some @CAPS8. In just @NUM2 hour I visited @LOCATION3 right from my very own house! Computers can take you on a magical journey to a far away country. Computers allow people to talk to online with other people. This is a very good thing. I have cousins who live in @LOCATION2 and because of the @NUM3 hour time difference, its not always easy to talk on the phone so we use the computer. My family will send e-mails back and forth with them. Sometimes we will even video chat! @CAPS3 networking sights accesible by computer such as @CAPS10 or @CAPS11 allow us to talk to people who we don't regularly see. On @CAPS11 you can even talk to your favorite stars or musicians. Computers let us keep in touch with others. Computers have a positive effect on people. Some experts @MONTH1 say that people spend too much time on the computer and while that @MONTH1 be true to some people, its not true to everyone. We still exersise, and spend time outside. We still interact with family and friends but know we are also able to do so on the computer. More and more people using computer is a good thing.",5,5,10,"ID1,ORG2,STY2"
12753,5,"By writing the story, the author created a mood full of warmth and comfort. The mood created in this story shows how family should be. When @PERSON1 says that ""they take anyone in until they are back on their feet"", this shows that they appreciate their family and they are all close. This shows that they care for one another contributes to the mood by showing love and warmth towards another person. A second way about the mood is when he talks about his kitchen and how much it means to him. When he talks about the love of culinary skills and cooking which is still with him today it creates a solemn mood that sets the tone of the story. Third, where he talks about his neighborhood. @PERSON1 talks about the immigrants in the area and how they come together with their different backgrounds. This shows that they show affection for one another and that everyone is the same. This sets the mood too by showing everybody needs to be nice to everyone. These three parts set the ""mood of the story.",3,3,3,"ID2,ORG2,STY3"
16086,6,"Base on the excerpt, the obstacles the builder of the Empire State Building faced in attempting to allow dirigibles to dock there. My prodiction is he doesn't want it around because the Empire State Building is way to high and the blimps is like floating Right above it. Something may have, thats what I think Al Smith is worried about. My backup answer is the statement he said ""it's on the level, all right. ""No kidding"". We're on the thing now. One set of engineer here in New York is trying to dope out a practical, workable arrangement and the Government people in Washington are figuring on some safe way of mooring airships to this mast"" it seems like hes confused about the whole situation.",0,0,0,"ID3,ORG3,STY3"
18354,7,"One time when I was patient I was playing a football game with my friends and the other team was creaning us. But even though we were losing I still managed to stay calm and we ended up beating them, @NUM1",5,6,11,"ID2,ORG2,STY2"
12060,5,"The mood created by the author in the memoir is many things. But, I think the main moods in the memoir are happy and greatful. I think the mood of the story is happy because the story tells about all the good times @PERSON1 had in his house. For example, @PERSON1 says ""here, the innocence of childhood, the congregation of family and friends, and endless celebrations that encompassed both, formed the backdrop to life in our warm house."" And, I think the mood of the story is also thankful because a lot of the story has to do with @PERSON1 thanking his parents for all they have done and sacrificed for him. For example, in the end of the memoir @PERSON1 says ""I will never forget how my parents turned this simple house into a home."" and in a way thanks his parents for everything. So, as you can see those are the moods I think the author created in the memoir.",2,3,3,"ID2,ORG2,STY3"
19135,7,I was being pationt when I was waiting for my own phone so I cam text my friends and call them and more. I was also waiting for to get my own snowmoble licens so I can ride my own snowmible on the troils. Know  matter what you are always be patient.,4,5,9,"ID2,ORG3,STY3"
13151,5,The mood created by the author in this memoir is greatfulness. The memoir showed how greatful Narciso's was to his parents. Their bravery and selflessness must have truley impacted his life then and probaly how he lives today. It also give the feeling of respect. In this memoir it shows how much he truley respected his parents and community. And last I think it gives the mood of admiration. The memoir really expressed how much he admired his parents and community. It showed how much he admired his parents bravery and he admired his overcoming of odds. He also admired how a community of different races could get over that and pull toghether to really make a community.Those are some of the moods that ar expressed in this memoir.,2,2,2,"ID2,ORG2,STY3"
20827,8," I didn't believe my grandfather when @CAPS2 told me laughing could cure anything. I was nine years old, the days were dark @CAPS3 cold @CAPS3 I felt like my life was a shattered piece of a stain glass window. Not only had @PERSON2, my ageless pit bull, just died @CAPS6 also my little sister would tease me if I dared to shed a tear for the lost of my best pet. I sat on the coach, staring at the fire as it crackled @CAPS3 popped, when my grandfather sat down beside me @CAPS3 told me a story. It was about him, when @CAPS2 was young @CAPS3 how lost @CAPS1 best friend too, only @CAPS1 friend wasn't a pet. ""@CAPS1 name was @PERSON3,"" @CAPS2 began, ""@CAPS3 we were eleven years old. Oh, how we had so much fun. All we did was @CAPS7! We thought we were gonna grow old together @CAPS3 be each others best men @CAPS3 cause trouble tell the end. @CAPS2 was my best friend until the end. I loved him, very much like how you love @PERSON2. I never thought anything would happen to him. I thought that we'd both live forever. @CAPS6 then something did happened. @PERSON3, @CAPS2 had gone fishing alone because I was at church @CAPS3 @CAPS1 @CAPS4 had to work, @CAPS3 it was such a wonderful day to @CAPS11 down to the river @CAPS6 then @CAPS2 never came back from the river..."" @CAPS5 sniffled at the old story, "" @CAPS6 you see, @PERSON1, there's a cure for sadness. Do you want to know @CAPS9 it is?"" I nodded half thinking there was a magical medication or spell. ""@CAPS7."" @CAPS2 said. ""@CAPS9?!"" I was utterly shocked. ""@CAPS10, it's simply,"" @CAPS2 said gently, knowing my easy temper, ""@CAPS11 through the stages of grieving. Feel lost for a little bit, @CAPS6 then find your way back home. @CAPS7 is in your heart @CAPS3 always will be. Find a wave of joy @CAPS3 @CAPS11 with the flow. Love life, because, as you have just seen, it can be so short."" I nodded @CAPS6 didn't look at @CAPS1 sober face. @CAPS2 kissed the top of my head. @CAPS2 looked into my eyes ( I didn't dare meet the intensity of @CAPS1) @CAPS3 I knew @CAPS2 saw the reflection of the fire blazing in my watery green blue eyes @CAPS3 could see my processing @CAPS9 @CAPS2 had just told me. Then @CAPS2 left me alone to think. I needed to move on? How? Life wasn't that easy. I knew that. I opened up my note book to do some homework to get my mind off @PERSON2, @CAPS5, @CAPS3 @PERSON3. That's when I discovered a small piece of paper the size of a deck of cards. I flipped it over, showing that it was a picture. A tear leaked out of the corner of eye. It was of me @CAPS3 @PERSON2. We were both in a mud pit. My blond hair looked like dirt ( considering that I had been rolling in mud). My pit bull was rubbing @CAPS1 greasy head on my shoulder smearing more mud on to myself. I smiled, missing him even more, @CAPS6 feeling a lot better then a minute before. I loved him. I loved him so much. I still do this day, @CAPS6 I had to get over that my friend was gone. After I saw the picture, I had laughed to myself, automatically feeling better about being such a horrid granddaughter @CAPS3 a inconsiderate best friend. @CAPS6 seeing the good times we had, @CAPS3 smiling, made me honestly feel better about myself. Huh? Maybe laughter is the cure for anything.",24,21,45,"ID1,ORG1,STY1"
11841,5,"The mood created by the author in the memoir was happy, enjoyable, and worth living. I say happy because they had family to be with, and other friends to help them if anything. I say enjoyable because the author talks about how they (main character) had the first birthday and first friend. I would enjoy all my birthdays if I was that person and also my first friend. I also said worth living because they had food on their table everyday. And nothing in the memoir said anything about struggling. This is why I explain the mood as happy, enjoyable, and worth living.",2,1,2,"ID3,ORG2,STY3"
3304,2,"How would you like to read or listen to something disrespecting and calling you out of your name such as, '@CAPS1 did you say to me @CAPS2'? Would you want to keep things like that in your libraries? I would, I think anything that was hurtful, harmful, or offensive should be open to the public because it's a great way and opportunity to learn.                             Books, magazines, and music on slavery are things I think we as a people required to read are things we are required to have. Sure it might hurt, depress, or even aggrivate some people but it also fills you with knowledge on the past. For a person of any race this is a way to feel the pain and struggle of people before us. Despite the pain or irritation this is a type of learning I would welcome in libraries.                             Knowledge of suicide is also something I think should be available. Because some of our friends and family have either did or attempted suicide, and without knowing about it how can it be prevented. Books on the subject would provide help for those going throughout life with suicidal thoughts. Reading about past struggles or facts about it could give them tips or ideas on how to avoid suicide. I think we need literature on this because I feel enlightenment on the subject is the only way you can avoid it.                                                                      In conclusion, I think that all types of literature should be admitted and released to the public. I think this because all forms of literature offer a great opportunity to learn. I believe that only by reading the literature on past situations and  struggles can you avoid or overcome struggles you face or will face in your lifetime",3,4,3,"ID2,ORG2,STY2"
