essay_id,essay_set,essay,rater1_domain1,rater2_domain1,rater3_domain1,domain1_score,rater1_domain2,domain2_score,rater1_trait1,rater1_trait2,rater1_trait3,rater1_trait4,rater1_trait5,rater1_trait6,rater2_trait1,rater2_trait2,rater2_trait3,rater2_trait4,rater2_trait5,rater2_trait6,rater3_trait1,rater3_trait2,rater3_trait3,rater3_trait4,rater3_trait5,rater3_trait6,comments
4727,2,"This is along the lines of personal thought. Some people can be happy with things ,while others disagree. Unless its racist or sexist no one has any right at all to say something can't belong. If someone doesn't like a book than walk away from it don't ponder at why its there, someone else @MONTH1 want it.     So I dont like this topic personally but i am ok with writing about it. Its not a choice just like it really shouldn't even be a choice for people to say what belongs where, unless it is rightfully owned by the individual. I know there are many things I dont like but I dont try and get things moved and banned. Its there people want to read it. Plus the person who wrote or made the object would be shot down (@CAPS1 of sadness or rejection).      Along the lines of insulting a race and/or being sexist, If that is being done in the book it should be stopped and disposed of. People have the right to say they are not happy with that but if they just dont like the topic but others do than they need to move on and not make a big deal out of it. Now if the title @CAPS2 says what the book is about than walk away don't pay attention to it. People @MONTH1 use it for research or something in the future. Now people @MONTH1 be self-centered and just want what they need so they cause a huge, @CAPS3 or fight over stupid little things. Thats the people that always got things handed to them which I imagine is why this topic came up.      So that is my thoughts and believes about the topic of Censorship. It doesn't matter where, in school or at a library it is there because someone is/was interested in the item. I know this is my thoughts and believes, people @MONTH1 completely think what i wrote it stupid, some @MONTH1 think its smart. Its just the culture you grew up in and @CAPS1 of mind you are in that current time and place.",3,3,,3,3.0,3.0,,,,,,,,,,,,,,,,,,,"ID2,ORG3,STY3"
19387,7,"I know a time when I was patient. My friend @PERSON1 was coming back to the football field after we scored a grant @NUM1. We were gonna hang out. It was two and a half hours before he got their. When he was there we both were patient to play the game or do what others wanted to do. AS the day progressed the sun was like a tanning booth. The grass was also as dry as cactus, but the day moved on. Finally when we went are own way. We knew we had patience.",6,8,,14,,,1.0,1.0,2.0,2.0,,,2.0,2.0,2.0,2.0,,,,,,,,,"ID2,ORG2,STY3"
12115,5,"He was thankful his parents moved for him and thinks it was very nice. He said he doesnt think he would do that, so it was meaningful to him. His parents had come to give him a better life, even though they were leaving behind loved ones.",1,1,,1,,,,,,,,,,,,,,,,,,,,,"ID3,ORG2,STY2"
16502,6,"Based on the excerpt, the obstacles the builders of the Empire State Building faced in attempting to allow dirigibles to dock there were, the one obstacle to thier expanded use in New York City was the lack of a suitable landing area, also saw a opportunity for his Empire State Building to have a mooring mast added to the top of the building that would allow dirigibles to anchor there for several hours for refueling or service, or to let passengers off and on. Also dirigibles were docked by means of an electric winch, which hauled in a line from the front of the ship and then tied it to a mast. In conclusion, these are the obstacles which the builders of the Empire State Building faced, to allow dirigibles to be docked.",1,1,,1,,,,,,,,,,,,,,,,,,,,,"ID1,ORG1,STY1"
12218,5,The mood created by the author is welcoming and warm. The author makes it so that you want to be @CAPS1 and being able to smell the good food. Also just being able to appreciate the cuban culture.,1,2,,2,,,,,,,,,,,,,,,,,,,,,"ID2,ORG2,STY2"
7482,3,"The features of the setting affected the cyclist in bad ways. The rocky road and steep hills made him peddle harder. The old people made him go through the rocky way. The temperature from the desert made him thirsty so he ran out of water fast, He said “When I tried a drop or two, it had the flavor of battery acid.” The heat could have killed him anytime. For example “Wide rings of dried sweat circled my shirt, and the growing realization that I could drop from the heatstroke on a gorgeous day in June.” This ride this man took to Yosemite was a very dangerous ride.  ",2,2,,2,,,,,,,,,,,,,,,,,,,,,"ID1,ORG1,STY1"
6300,3,"In “Do Not Exceed Posted Speed Limit” by Joe Kurmaskie, the features of the setting affect the cyclist by gradually wearing him out and pushing his limits of hope and survival skills. At first, the cyclist enters a deserted town but he remains calm and amused by this in the sentence, “I chuckled, check my water supply, and moved @NUM1). Soon after, the cyclist is troubled by a “ramshackle shed, several rusty pumps, through the high deserts of California in June” (@NUM2). He is agitated by this, makes a significant dent in his water supply, and unfortunately continues. At the point where he is still isolated and lost beyond repair, the cyclist tries to stay hopeful but soon breaksdown. He reflects, “Telling myself that of I could make it that far, I’d be @NUM3). The features of the setting become more and more disappointed at each leg of the journey for the cyclist.",3,3,,3,,,,,,,,,,,,,,,,,,,,,"ID1,ORG1,STY2"
3463,2,"I think they should'nt remove material from libraries if it's found offensive. People find different things offensive that others do not. If you started takeing these things out,thers a good possibility that you'll loose everything,books and your people.      One example I say this is because, some people are offensive bout movies that have violent scense in them. Others like the violence in those shows. The librarie might be the only way someone can get ahold of something they like.      Another example is, magazines can contain material you don't want your kids round or seeing. That same magazine could help a student with a assignment at school. Kids might need the material that is offensive,it could help them through life.       In conclusion I do not think we should take movies and books out if someone finds it offnesive. Some of the offensive material could be used to help students in there education. Other offensive material some adults enjoy reading or watching. Just because one person finds something offensive does not mean the next person that comes in will.",3,3,,3,4.0,4.0,,,,,,,,,,,,,,,,,,,"ID1,ORG1,STY1"
13260,5,"In the memoir the author creates a mood. Narciso Rodriguez tells about their childhood, and their home. This creates a mood in the reader of being home and warmth of family and love.@CAPS1 this memoir gave a feeling of home, or being in the home of a Cuban family. Almost as if who ever was @CAPS1 it knew them. It gave a feeling of hospitality and love. For example in paragraph to the author talks about the home, food, music, etc. In the end of of the paragraph it said all those things formed the backdrop to life in our warm home.Throughout the memoir it speaks about family, friends, and neighbors. This gives a feel of hospitality, for example ""My parents always kept their arms and door open to the many people we considered family.""@CAPS1 this memoir creates a mood in the reader. Mostly of hospitality, but also of love, warmth, and friendship. As if you know the Rodriguez family, and you're entering their home.",3,4,,4,,,,,,,,,,,,,,,,,,,,,"ID1,ORG2,STY2"
7559,3,The features of the setting affect the cyclist by old people changing the definition of adon’t talk to strangers. The main character,1,1,,1,,,,,,,,,,,,,,,,,,,,,"ID2,ORG3,STY3"
3754,2,"No, I dont think you should be able to take the magazines off the shelf because it is pointless,to some people @MONTH1 find everything offensive and others @MONTH1 not find it offensive like me personally stuff people find offinsive I find it kind of humorous.       And I understand how some people are more likely to be offended because of say their sexuality or ethnicity. But other than that there should be no censorship it makes the place that is doing it seem like they are very strict and because of those strict policys it makes some people wanna go there less to get what they want and who knows the thing you @MONTH1 want @MONTH1 be censored.  And I understand that when you have a kid you dont want them to fo the wrong things in life and try and keep them away from the bad stuff as long as possible.  But as your child grows older he will be introduced to older/adult type material and you should cut them a break and not punish them very bad when something like that happens.  From my humble opinion some parents are very strict about censorship and I completely understand the parents point of view.     Eventually people will have to let their children find out about certain things, so you might as well allow them to see it at possibly the age of @NUM1 or so that seems like a suitable age for early privelages.  When it comes to taking items off a shelf some peole have worse judgement than other people and that can effect everyone from their bad judgement.",3,3,,3,3.0,3.0,,,,,,,,,,,,,,,,,,,"ID2,ORG3,STY3"
