essay_id,essay_set,essay,rater1_domain1,rater2_domain1,rater3_domain1,domain1_score,rater1_domain2,domain2_score,rater1_trait1,rater1_trait2,rater1_trait3,rater1_trait4,rater1_trait5,rater1_trait6,rater2_trait1,rater2_trait2,rater2_trait3,rater2_trait4,rater2_trait5,rater2_trait6,rater3_trait1,rater3_trait2,rater3_trait3,rater3_trait4,rater3_trait5,rater3_trait6
19084,7,"One time I was patient when my little brother was taking a shower and I had to go to the bathroom. So I waited and of cource he locked the door so I tried to pick it with a toothpick, it didn’t work. Then I told my dad and he said “be a man you can hold it in” so that didn’t work either so I was just about to take the door off the hinges and then he walked right out and smiled at me so then I went in the bathroom and it was soaked in water so I yelled at him and that’s wen I was patient.",7,8,,15,,,2.0,2.0,2.0,1.0,,,2.0,2.0,2.0,2.0,,,,,,,,
14958,6,"The obstacles the builders of the Empire State Building faced in attempting to allow dirigibles to dock there were that most dirigibles used hydrogen rather than helium, and hydrogen is highly flammable."" Another reason was the wind. The winds on top of the building were ""constantly shifting due to violent air currents."" It will not be safe for the pedestrians below the Empire State Building.",2,2,,2,,,,,,,,,,,,,,,,,,,,
15016,6,"Some of the obstacles the builders of the Empire State building faced were the winds in the high altitudes, the laws that didn't allow airships to be so close to an urban area, the safety of the passengers, and the safety of the pedestrians below.",2,2,,2,,,,,,,,,,,,,,,,,,,,
10594,4,"The author concludes the story with, ‘when they com back, saeng  vowed silently to herself, in the spring, when the snow melt and the geese return and this hibiscus is budding. Then I will take that test again.” @CAPS1 then she will become more familiar. For example, the author says, “Almost reluctantly, she realized that many things that she had thought of as strange before had become , through the quiet repetition of season upon season almost familiar to her now.” That tells me that she feels that over same time , she will become more familiar with driving and then she will take the test again. Then she @MONTH1 pass it",1,1,,1,,,,,,,,,,,,,,,,,,,,
4538,2,"Do you believe in hiding books and movies that are over @CAPS1? Do you think that children can control themselves with offensive behavor? Have you ever seen a child watch a scary movie that was @CAPS2 @CAPS3? Why do you think that most parents block that kind of viewings from their young children? I believe that materials such as books, music, movies, and magazines should be removed from the shelves from children, if they are found offensive.       I fully agree with adults not letting children watch that new scary movie or that action book their brother is reading. I think they should consider the effects that come with watching or reading certain things. Children at young ages still have their innocence. You don't want your child having nightmares because you let them watch a over @CAPS1 rating movie. You would feel guilty if the child has problems for the rest of their life.      You have to make a choice on whether the it's comfortable for them to view what their watching or reading! It's important to hid them so the child can not get ahold to them. Be wise of the kind of movies and books you leave around the library. You should have a section for children in libraries. You should have all the materials that a child should be interested in. It should be colorful and playful as possible.      I used to watch this girl named @CAPS5. I was babysitting her one night, while her parents were at the movies. I brung a movie to watch, when @CAPS5 fell asleep. So once the clock turned to @NUM1, I put her to sleep. But little did I know she woke up and @ORGANIZATION1 me watching this horror film called @ORGANIZATION1. It gushed blood everywhere and she started to sceam! I thought I had secured her in her bedroom, to go to sleep but to my surprise she was still woke! I rushed over to her and put her back to sleep. hoping she didn't have any nightmares.     Please be curtious to the things youlet children read or see. You have to think of the effects of what's going to happen to the child later in life. I know you think that it's not that harmful to children, but it can really mess up their minds and actions forever. So I hope I have persuaded you to follow my advice and pull them over @CAPS1 movies and books off the shelves for the safety of the children",4,4,,4,3.0,3.0,,,,,,,,,,,,,,,,,,
4702,2,"I do not think that a random stranger should have the right to decide what books to allow in a public library. If they have a problem with certain material in certiain books they should bring it to the attention of the library. The auther who wrote that book has the freedom of speech, and they are allowed to write anything that they would like to write. If somebody did not want their children looking at a book, or reading that book, then they should just tell their child to stay away from it, and if they raised their child properly, he or she should respect those boundries that the parents have set.     However, I think there should be a line drawn about what is too graphic to be displayed at a public library. Some magazines that contain graphic material are very educational, such as @ORGANIZATION1. On the other hand, I am not saying that we should be lining shelves with @CAPS1 magazines either. There is a difference between having books that educate children about other cultures, and those that educate them about sex and explicit material. It is the adults job to protect their children from material such as that. But they can do it in another way, other than taking the book off the shelf.     Even if the book is filled with drugs or nudity, the concerned parent cannot just take actions into their own hands. The owner of the library is the adult that gets to decide what types of books or magazines he or she allows in the library, not the customers. I think that if you are offended by a certain book at a library, you should bring it to the attention of the owner, or simply go to a different library. If the owner refuses to remove the item from the shelf and the material offends you that much, you could go to court and plead your case to the judge. But you have no right to remove a book from a shelf that does not belong to you.",3,3,,3,4.0,4.0,,,,,,,,,,,,,,,,,,
15012,6,"In attempting to allow dirigibles to dock on the Empire State Building, the architects faced many problems. One of these problems was the buildings frame. The frame needed to be modified and strengthened to accommodate the new mast. Another huge obstacle was safety. In paragraph @NUM1 the author states, ""hydrogen is highly flammable."" If a dirigible were to go up in @CAPS1 not only the passengers would be in danger but everybody on the crowded streets below. The winds at such a high altitude also posed a threat. Paragraph @NUM2 explains that the violent air currents would cause the back of the ship to swivel all over the place, making it hard for passengers to unload. These were just some of the many problems builders faced while attempting to allow dirigibles to dock on the Empire State Building.",3,3,,3,,,,,,,,,,,,,,,,,,,,
16212,6,"Allowing dirigibles to dock at the Empire State Building would have been completely different from anything before, but never continued because of obstacles. The builders faced issues such as safety issues, harnessing nature, and the law itself. The dirigibles presented safety issues including fire, which occurred and builders ""realized how much worse that accident could have been"" (¶ @NUM1) Another safety issue was keeping the blimps stabilized, which would have needed free hanging weights over the city. Yet another obstacle was the power of nature; it would have been nearly impossible to keep the dirigible in place. Because of the wind ""the back of the ship would swivel around... the mooring mast"" (¶ @NUM2). The new idea was a good one but the law also was against it, because of how low the blimp would be. As stated, ""This law would make it illegal for a ship to ever tie up to the building..."" (¶ @NUM3). The masting moor of the Empire State Building caused too many obstacles for the project to be completed. Although it would have opened new doors for means of travel there were too many safety violation for it to be worth while.",4,3,,4,,,,,,,,,,,,,,,,,,,,
4535,2,"The books, magazines, music, and movies shouldn't be removed from the shelves.  They still have good information that someone other than you @MONTH1 want to know.  If you take them off of the shelves the people that want to use them don't have the opportunity.   If you remove books then if someone needs one for a reseach paper that they have to do they will not have the nessisary resouces to do the paper, and at the same time the person with the paper @MONTH1 feel that the non-educational books need to come off the shelves and then that person wont have the books that they want.     If they want the book taken off of the shelf, because of inopropriate language or nudity then the libraries can make a spot that you have to be a certain age to access them. I wasw at the library and there was a woman getting upset, because her son had a movie and book that she didn't think was good for him to have.  The, book and the movie, that he had were in a different area so that minors weren't suposed to get them.  So the woman would be the one that would probibly want to take them off of the shelves, but it wasn't the libraries fualt that he wasn't where he was supposed to be.      The products should stay on the shelves, because someone needs it for something or it wouldn't have been there in the first place.  If they take the products down that certain people don't like then the people that do like it will not have it.  If there are resons that people must have the product off of a shelf then the product should go somewhere else that can be accessed by the people that do want to you the products.  The products should stay on the shelves  so that the people who need, or just want to use the products can use the products.",2,3,,2,2.0,2.0,,,,,,,,,,,,,,,,,,
6388,3,"The features of the setting affect the cyclist in many ways. For example, in paragraph @NUM1 it says, “I was traveling through the high deserts of California in June.” @CAPS1 the heat the cyclist experienced, since he was in a desert in June, made him dehydrate faster. The heat made him drink more so he ran out of water more quickly. Then he would try and conserve water by not drinking and this would cause him to dehydrate more because he was losing body fluid in sweat secondly, in paragraph @NUM2 it says, ”Flat road was replaced by short, rolling hills,” These hills affect the cyclist because he would need to use more energy to cycle up the hills. This would cause him to become exhausted more quickly than he would on flat land. If the setting had been different, such as not being in a hilly desert, the cyclist would not have become as dehydrated and tired as he did. In conclusion, the features of the setting affect the cyclist in many ways.",3,2,,3,,,,,,,,,,,,,,,,,,,,
3169,2,"'And then we have no books left on the shelf for any of us.' @CAPS1 is such a strong statement by Katherine Paterson in regards to censorship in libraries. So often today do we hear of books, magazines, and numerous other resources in libraries being banned because of unpopular views. A classic novel, The @CAPS2 of @CAPS3 @CAPS4, has been removed from the shelves of many public and school libraries because of crude language such as the word 'nigger'. Libraries should not take resources off their shelves due to offensiveness because it goes against the library's purpose and because many people have different views.     A library is a place with resources provided for information, interest, and enlightnement. When a book or magazine is taken away because of origin, background, or views that seem obscene or unpopular, then that library isn't serving its purpose. If I wanted to find a book on @CAPS5 but the library banned it because another religion found its teachings offensive, then why not ban the other religion's books as well? @CAPS1 goes back to what was said by Katherine Paterson earlier. What might be offensive to one person could be a lifestyle or interest to another.      Children, however, should be treated as a special case. No, a child should probably not, in my opinion, be reading about adult things such as sex. However, that child's parent or guardian is the only one who has the right to restrict resources they feel as inapropriate. In most public libraries, young children are not aloud to roam the library without an adult. @CAPS1 is a very prominant rule because it sets boudaries for the adolescent so they are not to read about or listen to anything they shouldn't. Also, it is keen that libraries divide up the different resources into separate sections for children, young adults, and adults.      Banning books and such from libraries takes away a part of history and leaves a gap for the future. To find that what our parents were once reading is restricted should not be an issue. Materials should not be censored in libraries beacuse they are found offensive becuase @CAPS1 is censorship and it takes away our rights.",3,3,,3,3.0,3.0,,,,,,,,,,,,,,,,,,
6262,3,"In the essay Do not exceed posted speed limit by Joe Kurmaskie, the surrounding setting affected the cyclist. The setting was somewhere outside Lodi, California in early summer. The cyclist took advice from some old men that led him to difficult places to get out of. As the sun made things better and his water started to deplete getting to Yosemite was much harder. The cyclist was traveling through high deserts of California in June. When the terrain started to change from flat road to rolling hills the cyclist pushed himself even harder to get to his destination. The sun and hot air dehydrated him faster. After traveling over, ""along, crippling hill,”  the cyclist had to stop and even tried sucking on apebble in an effort to take his mind off thirst. When he found a habited store he was exhausted and relieved. Then features of the setting had a big effect on the cyclist. The weather dehydrated him while the terrain exhausted him.   ",3,2,,3,,,,,,,,,,,,,,,,,,,,
831,1,"I belive having computers in a household is a good idea. They can play games, learn, talk and many more. Here are my three reasons having a computer is a good thing. Having a computer is great to play games! There are so many varieties to choose from. There are card games, board games, even @NUM1 games! You can play solo, but it might be more fun and easyier to bring some friends along for the ride. As you can see having a computer can be fun, but its not the only thing to do on a computer. Useing a computer to learn is wonderful too. The computer can take you to places you have never seen, heard, or been to before, or maybe a place you couldn't afford to go. You @MONTH1 learn that in on place it's sunny all the time and in other places it's not. Another thing the computer can teach you is about animals. Animals have been here way be for us. There is still much we dont know about them. Many scientists have spent their lives studying animal and have put it on the iternet for you to better educate yourself. The computer can also teach you hand-eye. Hand-eye is great to have if your trying out for a sport like football, baseball, and basketball. Also you never know when you'll need to catch somthing. My final reason is also very helpful. Being able to talk on the computer is good to using voice chat or instint messenger is your choice. While talking on the computer you might make some new friends that share the same intrests and hobbies you do. And you can chat with them as long as there online. Also while your talking you can express your ideas and feelings. Somtimes you might just need to blow off some steam. Or maybe post an idea that can one day be famous. As you can see games, learning and talking are easier to do on the computer. This is why I think.",4,4,,8,,,,,,,,,,,,,,,,,,,,
8949,4,"The author concludes the story with that ending because he wanted to show the reader “if you just try, you might like it,” and that’s why the girl said she would come back next spring when the snows melt so she can take the test again.",0,0,,0,,,,,,,,,,,,,,,,,,,,
13526,5,"In the memoir by @PERSON1 the mood in the memoir by grateful, friendship. The first @ORGANIZATION1 @CAPS1 Narciso was very grateful cooking that is still with me today (And for which I am @CAPS2 grateful that means that Narciso like these there cooking and it very grateful.The @ORGANIZATION1 shows that Narciso is very friendship with his Parents and friendship ""All of these cultures came together as a family in the memeior by @PERSON1 the two @ORGANIZATION1 @CAPS3 How Narciso @CAPS4 grateful and friendship. ",2,2,,2,,,,,,,,,,,,,,,,,,,,
8983,4,"In the story ""Winter Hibiscus"", the author concluded the story with the quote ""when they come back, Saeng's vowed silently to herself, in the spring, when the snow melts and the geese return and this hibiscus is budding, then I will take the test again."" the auther put this paragraph as the concluding thought to stress that Saeng is determined to make a change. She failed the test but wants to take it again. Her grandmother's resemblance is in the flower so if the flower budds, then her grandmother will be back in a sense. When he grandmother ""comes back"" then @PERSON1 will feel as if her grandmother is giving her strength and encouragement to try the test again.",2,2,,2,,,,,,,,,,,,,,,,,,,,
7310,3,The features and setting in the story affected the cyclist because they made his journey to Yosemite even harder. In the story it says that it was so hot he could drop dead from heatstroke. Also his lack of water made him extreamly tired as he petaled. Next the sun was beating down so not only was he tired due to his lack of water but also because of it being so hot out he was loosing water and energy from his sweat. Thats why the features and setting made his journey to YoSemite difficult.,2,2,,2,,,,,,,,,,,,,,,,,,,,
14962,6,"In the excerpt from ""The Mooring Mast"" by Marcia Amidon @CAPS1, there is an obstacle the builders of the Empire state Building faced in attempting to allow dirigibles to dock there. This idea would not work because the dirigibles is way to heavy, and that would cause more pessure towards the Empire state building. When there a massive amount of pressure on the building, it would collapse. ""The dirigible's load and the wind pressure would have to be transmitted all the way to the building's foundation, which nearly eleven hundred feet below."" Another obstacle is it was expensive to build it. ""Over sixty thousand dollars' worth of modifications had to be made to the building's framework."" In New York there are many places and people are tightly packed. There isn't any space that is big enough for the dock. ""Some were as long as one thousand feet, the same length as four blocks in New York city."" These are the main obstacles of the Empire state building to allow dirigibles to dock.",2,2,,2,,,,,,,,,,,,,,,,,,,,
