essay_id,essay_set,essay,rater1_domain1,rater2_domain1,rater3_domain1,domain1_score,rater1_domain2,domain2_score,rater1_trait1,rater1_trait2,rater1_trait3,rater1_trait4,rater1_trait5,rater1_trait6,rater2_trait1,rater2_trait2,rater2_trait3,rater2_trait4,rater2_trait5,rater2_trait6,rater3_trait1,rater3_trait2,rater3_trait3,rater3_trait4,rater3_trait5,rater3_trait6
3487,2,"Everything is offensive to someone. There is no way to make sure nobody is offended unless you have nothing to offend anybody at all. If there is something on the shelf, someone can find something offensive in it. here is a good senario; there is a childrens book. It is one of the gratest books ever written, but it was written before the civil war and there is a racist comment in it. @CAPS1 good bye to that book. Some people would probably think '@CAPS1 its only a childrens book. I'm sure we will survive.' @CAPS1 lets move on to a bigger idea. What happens when someone says the bible is offensive. @CAPS1 thats gone, but now its supports are saying the other people's entire religion is offensive. Thats a couple more books. Now we have violence.      Moderate censorship is acceptable for the young, but there is a line, even though it is hard to find sometimes. Obsence images that are illegal to view by a minor are acceptable but those that are legal should be seen without censorship. Censorship for those who understand is unacceptable, although select items should be viewed under supervision. To strip the rights of a person is not acceptable.      The @LOCATION1 government has given people freedoms. One of those freedoms is the freedom of speech. This basically means i can say what ever i want and support whatever i want. A book is a form of speech. Although some speech is looked down upon, it should not be censored. Censorship is just basically saying; 'you can not say this.' That moves on to; 'you can not say.' then; 'you have no say.'     In developing countries, such as congo, if you go to the goverment and say what they are doing wrong and that you are agianst them, take a guess at what happens. They shoot you. A better word for that would be they censor you. If you write a book saying how obama could be a better president, but someone finds it offensive, what happens. They censor you. Now you get no say in the matter because the supporters of obama dont want you to. Do you see much difference?     Supervisation is a powerful thing. Guess what it can do better then censorship. With a supervison, children can still learn about topics but are not simply thrown into the obscene areas of it. A person is a human being. That includes children. The have a right to learn without the influence of others, but censorship denies them of that right.      Censorship should not be used in libraries. It takes away freedoms and oppertunities for children. It causes violence among people. It scars culture, and ignores religion. Although censorship has the ability to do more damage then any single person, it is not 'bad'. Censorship was created to protect people from things that they feel to be wrong. But good intentions do not keep wrong consequenses at bay.",4,4,,4,4.0,4.0,,,,,,,,,,,,,,,,,,
18375,7,A time when I had to be patient was my @NUM1 birthday. Why because I was wait for my phone and mom cep telling that I was going to get it on the frist of @DATE1. But I still didn’t belive her and guess what my last present was my brand new cell phone& a case now that is wat I call pacent.,4,4,,8,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,,,,,,
6967,3,"In the essay “Do Not @CAPS1 Posted Speed Limit” the setting effects the cyclist in many ways. When the cyclist arrived at the first town, he described it as a ghost town. This effected the cyclist because he started to have doubts about the directions he received, but he was looking foward to the cool pines and rushing rivers of Yosemite so he persevered. The setting of the next land mark was similar to the last. There was a shed, a few rusty pipes and a corral that ""Couldn’t hold in the lamest mule.” This made the cyclist more werry of the path ahead because he was running out of water. The next place was also similar. There was an abandoned @ORGANIZATION1. The cyclist was running out of water and now thought he was going to die because everything was deserted. Then, finally, the setting changed. There was a store that was actually opened. The cyclist then felt happy and relieved. That is how the different settings effected the cyclist.",3,2,,3,,,,,,,,,,,,,,,,,,,,
615,1,"Computers should be for everyone! Dont you think?, I do. And here's how @CAPS1 gonna convince you. Computers can basically be called a gateway to learning. Positive effects that computers have on peole is that, it teaches hand-eye coordination, give people the ability to learn about faraway places, and even allow people to talk online with other people. These great qualities computers have for people are fantastic. Also the fact that computers just keep upgrading as time goes by. So, by you reading this introduction, I hope you are satisfied with what I am going to in order to show you that computers are positive devices and can be helpful to everyone. Firstly, as I started in my introduction paragraph, computers help teach people hand-eye coordinates. This i believe is a good thing to know because without it, there arent many things you could do. For example fly a plane. You wouldn't be able to do that without both hand and eye coordinates because you would have to manually move the plane, and check to see if everythings in order by multi-tasking. Furthermore, this is just one given reason on why computers are positive towards everyone's benefit. Secondly, computers give people the ability tolearn about faraway places and people. This is also good for people's benefits because, theres knowledge in every bit of it. Your learning about others cultures, heritage, family history, and so forth and so on. This could also help you in the long run with any job you want to do because knowledge can get you anywere. It can get you very far in life so learn as much as you can, and I beleive computers can do so. This is another reason why computers can be positive. As for the last reason, I say that peolple can also talk to other people online on the computer.This is also beneficial because again, like I stated in my @NUM1 paragraph, you can learn many things that way and meet new people. Now dont you think computers can benefit anyone! I do and will always have the same opinion that is positive towards computers. For my conclusion, I would like to say that I hoped you enjoyed every bit of what I had to say, and you can also agree with the positive affects computers have on people. I truly beleive that computers are beneficial to all people and should continue to be around. it benefits society, and I enjoy every bit of using it. Thank you.",4,5,,9,,,,,,,,,,,,,,,,,,,,
6852,3,"The cyclist in “Do Not Exceed Posted Speed @CAPS1” was riding through the California dessert in June. This dry, bare setting made it impossible to find any source of water. The only time that this cyclist found water was when it @NUM1 and tasting of battery acid. There was nowhere for him to find water for miles. This lack of water and scorching heat made him travel slow and wearily. He even says that he could only go 12 mph in a 55 mph zone. By taking the advise of the old men and taking a “short cut”, the cyclist past through ghost towns with no water. This “short cut” prolonged his trip, most likely by hours If he had gone through populated area despite the fact that it is a longer path, there would have been more water to drink, which would allow him to go faster. The dry, hot setting of the old men’s “short cut” made this cyclist’s trip last much longer than nessiarry.",3,2,,3,,,,,,,,,,,,,,,,,,,,
20959,8," When a day is qualified as perfect there are a lot of things that go into making it so. Most perfect days in people's teenage years are in the @DATE3 beyond the stress of school. My perfect day wasn't in the @DATE3, nor was it on a crazy @DATE4 break in @LOCATION2. My perfect day was on a @DATE2 in the middle of @MONTH1 in @DATE1. It was on this perfect day that my friendship with @ORGANIZATION1 was founded. A friendship that is now the best one of all. A friendship that is based on fun times, memories, story telling, and laughter. By @DATE1 I had spent multiple weekends with @ORGANIZATION1. However none were as hot as that weekend in late @DATE4. We decided we needed to cool off and with that said, we set off for @CAPS1. Down the road we went with two redneck boys and a mutt in the truck bed. Arriving in @CAPS1 was peculiar because I was so far out of my comfort zone. It was also peculiar because I hadn't met a single soul @ORGANIZATION1 was about to introduce me to. When I first lay my eyes on @PERSON1, @PERSON3, @PERSON4, and @PERSON2 I couldn't fathom how @ORGANIZATION1 had met them. She is athletic, driven, proper, and intelligent. The boys that shook my hand were into things like big trucks, fishing poles, and a loud country band. I didn't think upon first meeting them that opposites could attract or become fond of one another. As the day progressed I found my comfort zone again. As the hours flew by and jokes and laughs were exchanged, I realized just how similar we all really were. I didn't think that all of the childish things we did that @DATE2 in @MONTH1 would matter to me months down the roads, but they do. When we were running by the dirty creek with black lipstick painted on as war paint and laughing so hard we cried, I realized just how perfect the situation was. If that day wouldn't have brought laughs to my lips and my mind to it's comfort zone, it would have been a day long forgotten. If you go back on every happy memory you have, there is always one common ground. A joke, or even a funny face makes you laugh extremely hard. Every time I drive through @CAPS1 I think about the day when the sun was hot and we sat by fishing poles exchanging laughs. I think about @ORGANIZATION1 and I running through the trees laughing and tripping over our own feet. I think about @PERSON1 and @PERSON2 laughing and pointing as we attempted to go swimming.  After all of the crazy running and swimming we were quite wound up. @PERSON1, @PERSON4, and @PERSON2 asked us to take a walk; so we accepted and off we went into the brush. Within five minutes of our departure, we stopped walking. Our walk had put us on the top of a hill of little round pebbles. I'm not sure what events lead up to @LOCATION1 pushing @PERSON1 down the hill. However, I remember @PERSON1 pulling @PERSON2 down with him. I also recall @PERSON4 sliding down to join the battle. Watching three boys wrestle and play on a hill of sliding rocks was something like watching a movie about the fifties. Nobody was texting or messing with a machine. Around us was laughing and serenity which danced like music around us. The day had no stress and it had the perfect amount of sunshine. It was like something you only dream about. Once you are in a moment like that, where your own little world is pulling you closer, you never want to leave it. When your on the laughing high, you disconnect yourself and for a few brief seconds your life is in it's simplest form. You are simply you, no racing thoughts, no rushing emotions. You are just one person. I never thought that something as small as laughs could create or better a friendship. On that @DATE2 I realized that the laughs shared between @ORGANIZATION1 and I would be the first memory for what was to come. Every event and every laugh that we had that day will be something I think about when I'm doubtful of the world. It'll always be a memory that makes me appreciate living. Someone once said, ""Laughter is the shortest distance between two people."" @CAPS4 that @DATE1 I wouldn't have believed it but laughing made me closer with people I would have otherwise avoided. Laughs and smiles bounded my world into @ORGANIZATION1 and into the world of a few @CAPS1 rednecks. And as of a @DATE1 @TIME1, that has made all the difference.",20,25,,45,,,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,,,
3927,2,"Dear newspaper editor,      @CAPS1 I am writing to tell you about the censorship in the libraries of @LOCATION1. This doesn't seem like a big problem to some, but a very major problem for others. Censorship has removed books, music, magazines, movies, and other things, from the shelf of local stores and libraries for being offensive to the seller or workers.     Its not what some store owners or library owners like in some cases, but its not about what they like. Its about the people in general that have a certian intrest towards that subject. Some people have even removed the @CAPS2 from local library systems.      Does it even matter what the owner wants to sell? In most cases, no. The belief in a religon or even a book, magazine, or movie that had one small comment about; sex, drugs or alchol is removed for just that. If we remove everything about any of that, the only thing left @CAPS3 be childrens books. Some people @CAPS3 find ways to get those censored as well. We @CAPS3 become illiterate without books, magazines and other things of that nature.     Theres even an account of a person being fired from there job for reading a magazine on there break at work! What happens if we all listen to another person that wishes to remove a book off the shelf? Then another and another, we @CAPS3 have no books in our libraries or stores.      This censorship is a major problem, very few people really care about this subject. Most think it should be done to most items, some think we dont need to censor anything, as we are a free country.      So newspaper editor, please question yourself, ask yourself, '@CAPS3 I like to have all of my favorite magazines, books, and movies gone forever, never to be seen again?' Then everyone will know the answer.",3,3,,3,3.0,3.0,,,,,,,,,,,,,,,,,,
6167,3,"To begin with a feature that affect the cyclist was a lack of water this is shown when the speaker says when I tried a drop or two, it had the flavor of battery acid-thats was one of the biggest factors he had risked. ",3,2,,3,,,,,,,,,,,,,,,,,,,,
21178,8," @CAPS1 is laughter important? In my opinion, laughter is very important! How could laughter affect someones life? If there was any, or not? Also, @CAPS1 is laughter important to me? Laughter is important for so many reasons. In a relationship, every day life, and with the ones you have in your life. How would the world be if there wasn't any laughter in this world? It would be very dry and dull. It helps connect people together, if they have the same sense of humor. Having a good sense of humor is very important these days. A lot of people use sarcasm which isn't ""laughter"" but to some people it could be or some could feel hurt by it. However, most people that feel hurt by it,don't have a sense of humor in any way, shape or form. Most people have heard the saying, ""it takes more muscles to frown then smile,"" that is a very true and factual fact! Having a glorious relationship is the best thing with my significant other. The affectionate that he can be by sharing our laughter together, brings us closer to a point where we couldn't be at all if there wasn't for laughter and communication. Having a a sense of humor is a important thing in a relationship, to most people. @CAPS1 would you want to be with someone who bores you? Who @CAPS2't make you laugh when your sad? I sure wouldn't want that. Laughter brings out great communication skills, by laughing with someone it shows your type of opinion on the subject you are talking about. In a relationship, could you imagine if there wasn't no laughter in it? Would you feel the same about the person your with if there isn't any laughter? How would you feel knowing the person you love isn't very ""humorous"" and @CAPS2't like to laugh often? I couldn't handle that. I would want to love someone who is very funny with a great sense of humor.  Laughter is important to me for so many reasons. I would rather be around very ecstatic people then someone who brings me down! I consider, laughter to be one of the most important things in my life, and in my relationship with my significant other. It brings us closer. People ask, "" @CAPS2't it ever get old being happy all the time?"" ""Of course not!"" I would say in defense. @CAPS1 would someone think that way? Being in a phenomenal mood all the time, would be the most amazing place I would want to be in my life and with my partner.  In my opinion, I would think that almost everyone would feel close to what I'm saying. However, people have their own opinions about laughter and how and @CAPS1 it's important, there are titled to their opinion. I know a few people, that don't like to be in a very cheery mood, that would prefer to be sad all the time and not care. Laughter could raise you up from that!",15,16,,31,,,3.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,,,,,,
6688,3,From the setting that affected the cyclist are possible conditions such as the weather and surrounding enviorment like hills and streams or even tyes of animals and if they are poisenous or not. The setting has and can change the desision a cyclist makes.,1,1,,1,,,,,,,,,,,,,,,,,,,,
