essay_id,essay_set,essay,rater1_domain1,rater2_domain1,rater3_domain1,domain1_score,rater1_domain2,domain2_score,rater1_trait1,rater1_trait2,rater1_trait3,rater1_trait4,rater1_trait5,rater1_trait6,rater2_trait1,rater2_trait2,rater2_trait3,rater2_trait4,rater2_trait5,rater2_trait6,rater3_trait1,rater3_trait2,rater3_trait3,rater3_trait4,rater3_trait5,rater3_trait6
6062,3," The bike rider in the short story “Do not exceed posted speed limit” by @PERSON1, is greatly affected by the condition of land around him. He is riding through the extremely dry desert and is running, low on water. However since it is such a dry place he can’t find any. Also since it is out in the middle of no where, there is no one he can ask for some. If this story was set somewhere else he wouldn’t have has either problems.",1,1,,1,,,,,,,,,,,,,,,,,,,,
15584,6,"The builders of the Empire State Building faced many obstacles in their attempts to allow dirigibles to dock there. One obstacle was installing the mooring mast, the architects couldn't simply drop a mooring mast on top of the Empire State Building's flat roof because the weight of the blimp moored at the top held by a single cable tether would add stress to the frame. The stress of the dirigibles load and wind pressure would transmit all the way to the building's foundation. The builders would have to modify and strengthen to build to accommodate the new situation. Another obstacle they faced was the cost, because it would take over sixty thousand dollar's to make the proper modifications to the building's framework. Also safety was another major obstacle, they would have to make people were going to be safe, because Most dirigible from other countrie's used hydrogen rather than helium, and hydrogen is highly flammable. The area's were densely populated an accident over the city would be much worse. The greatest obstacle was nature itself, but winds on the building were constantly shifting due to the violent air currents even if the dirigible were tethered to the mooring mast the back would swivel around. Dirigibles moored in open landing fields could be weighted down by weights, but using these would be dangerous dangling that high above pedestrians. Many obstacles were practical reasons why they couldn't moor at the Empire State Building. There was an existing law against airships flying too low over urban areas and make it illegal for ships to tie up to the building. So long these obstacles were faced in attempting to allow docking.",3,4,,4,,,,,,,,,,,,,,,,,,,,
19301,7,"I remember when I went to @LOCATION1 to visit my step-grandmother for @CAPS1 and went fishing. I didn’t really went to do it because I am a very impatient person. The creek we were going to fish in was right behind her house. I grabbed a fishing rod and went into the ‘backyard’. I flung my fishing lips into the water and waited. After maybe @NUM1 minutes or nothing (except my sister who caught most things.) The finally started to unravel. Excited, I kept out of my seat, knocking it over, and grabbed the real. Twisting and twisting the handle for what seemed like forever, I brought it up. The fish was small compared to what my sister caught seconds later. My step grandmother threw the fish back. After another @NUM1 minutes I became frustrated and went to swim. After an hour of swimming, I went back to my rod and decided to be more patient. I waited until my line started moving and I got up, and twisted the reel faster then ?? I’d caught the biggest fish of the day. I sat down and waited an entire hour for my line to move. I then caught another fish. Happy, I dropped my rod and told my step grandmother. My patience lead up to me catching the biggest fis of the day and learning something new.",10,12,,22,,,2.0,3.0,2.0,3.0,,,3.0,3.0,3.0,3.0,,,,,,,,
4098,2,"I am writing this essay to puersuade the members of our local library to use better censorship when putting unfit material on the shelves for the members of our community to use. In this essay I will reflect my views of this subject, backed by true facts that I have learned from many passed experiences.     I believe that there is a large amount of reading material on the children section selves of our libraries that is far to advanced for many young children to understand. I myself have reviewed many of the books in the childrens section of many libraries. When doing so I noticed that many of the material makeing up this section is far to advanced or is to profound for children to absorb. Young children need to be reading more books of fantasy to allow them to use their imagiation more and not let their head be filled with thoughts of war and disaster. The children that read today need to have more material offered to them that they understand and not so much material that they can't comprehend. Lets use put more fit books on the selves of our library and quit wasteing our money on unfit books.     In reaching the conclusion of this article I hope that I have persueaded  the readers to understand the point I am trying to make. I hope my readers take the information I have givin and put it to work",3,3,,3,3.0,3.0,,,,,,,,,,,,,,,,,,
13152,5,The author created many different moods in this memoir. An obvious one is Love. As a child @CAPS1 really appreciated that her parent gat anew home and moved to @LOCATION1 to raise their child. @CAPS1 loved her cuban background and environ ment that @CAPS1 grew up in.,1,2,,2,,,,,,,,,,,,,,,,,,,,
1584,1,"Alot of people have different ideas on if they believe computers benefit society. I for one believe that computer are useful for many things. The first reason why I believe this, is because one a lot of schools will need them for students, to do projects. Second they have computer gamed to help kids learn. Third I believe its a good way to just relax. The first reason why believe computers are good is because many kids in school will need them. In school we have a lot of projects that we might need type or get a picture. If we didn't have computers there would be no way we could do that. Also if we do persuassive waiting pieces. We would need a computer to type it to make it looks better. Many people might say we could all just write it out. But I believe that typing it might be faster and neater for some people. The second reason why I believe computers are good is because they have many good games to help people I know that have many different games text not readable Computers are good is because it's a a good way to relax. Aint of people get home from work or and are very tired. But instead of just going and sitting on the couch for the whole night you could go to the computer and do a fun game for a little while. Many people say that watching tv and going on the computer is the same things. But if you play an educational game once in a while it might be ok. But then you can do something fun on the computer every so often. In conclusion I believe computers are good because one many kids need them for school second they have a lot of educational games. its a good way to relax.",5,4,,9,,,,,,,,,,,,,,,,,,,,
16362,6,"It was very difficult for the builders of the Empire State Building to allow dirigibles to dock there. They had to face many obstacles along the way. One obstacle was that they kept trying to make the building higher. Al Smith was very competitive with the architect who was constructing the Chrysler Building which was also in New York City. Smith wanted it larger and by extending it, it became more dangerous and difficult to allow docks up there. Another obstacle was the weather at the top of the building. The winds at that height were very rigorous and with a highly populated area, they did not want an accident to occur. Allowing docs up on the Empire State Building was very dangerous.",1,2,,2,,,,,,,,,,,,,,,,,,,,
15573,6,"When the Empire State Building was being constructed, the main idea was to create a mooring mast for dirigibles (blimps) to dock there. However, being the first of its kind, this idea came with many obstacles. Before constructing the mast, they had to stabilize the building with steel framework and other modifications as stated in paragraph nine. Dirigibles are very long, and the previous structure would not be enough to support it with the high blowing winds. Safety was also an issue with adding the mooring mast. Blimps from outside the United States were filled with hydrogen, which is extremely flammable, instead of helium. If something were to happen, and the blimp caught fire, that could threaten the safety of cilvians. After the mast was constructed, the high speed winds were an obstacle yet again, and they wouldn't even allow dirigibles to come close to the building. Despite how unique the idea of letting dirigibles dock on the Empire State Building was, there were many obstacles getting in the way of making the idea successful.",3,3,,3,,,,,,,,,,,,,,,,,,,,
4493,2,"'@CAPS1 day @CAPS4 @CAPS3, my dad was pulled over three times for @CAPS2: @CAPS3 @CAPS4 @CAPS5.' @CAPS6 is just @CAPS1 of several quotes from a book that I am reading that some people could take offense to. The book in general is a rather appeasing book, it's just some things, people might take offense to. That doesn't mean the book shouldn't belong on shelves.     I don't think that libraries should be forced to take books off shelves just because they offended someone. That's like saying you should shoot everyone who has made an offensive comment to somebody in their life, you would be left with nothing in the end. If someone finds the things that other people have to say, offensive, they generally stop hanging out with that person. Therefore, it would only make sense for someone to stop reading a book if they find it offensive.     Some magazines have really offensive things in them, that people in the real world say. It's not like your generic non-fiction books that come up with insulting things to say, at a high school level. You don't have to subscirbe to that particular magazine, or even pick it up to read. These days, so many things offend so many people, in so many different ways. What might offend @PERSON1 down the street, @PERSON2 across town might find funny.You cannot make everyone happy, and if you took books off the shlef because someone complained about the offensive things that they read, you would be trying to appease to everyones' wants and needs.     I think it would be fair to put a restriction on books, about age limits. Some of the more offensive ones could have the higher age limits. At the junior high I attended, they have books categorized as 'young adult' books, which means you either have to be in eighth grade or have a note from your guardian saying that it's alright for you to read those types of books. It'd be just like movies; movies have the ratings so that only certain people can watch them, why can't they do the same with books?     I guess what I am trying to say is that it would be very disappointing to me and numerous other people if you just started taking books, @CAPS7, movies, magazines, and so on, off the shelves, and out of market just because someone cried foul against it. If they don't like the material that they are looking at, reading, watching, listening to, or all the above, no @CAPS1 is forcing them to pay attention to it. They can go read the nursery rhymes, because those are not offenesive. Once again I say, taking a book off the shelf everytime someone complains about the material would be like shooting every person who has ever made an offensive comment to someone in their lifetime, you'd be left with nothing.",4,4,,4,4.0,4.0,,,,,,,,,,,,,,,,,,
453,1,"Dear local newspaper, @CAPS1 has come to my attention that computers have positive and negative effects on people. In the past their have been more negative effects on people. In a survey taken in @CAPS2 magazines @CAPS1 should that @PERCENT1 of people, have negative effects with computers. Inmy opinion, I think comuters have a negative effect on people. First, people are not interacting with family and friends. @CAPS1 is very important to have interactions with people. When on the computer your not really interacting with. You just sit there staring at a screen. In a survey taken at @CAPS3 @CAPS4 @CAPS1 should that @PERCENT2 of people are on computer and not interacting with the people around them. Parents don't se etheir kids as much because they are always on the computer. Parents would love to see their kids move. Interacting with their family and friends will be healthy to them. Computers take the away fromhanging out with family and friend. Secondly, people don't get to enjoy nature. People on computer might go outside because they are involved with the computer. Stay in one room doing the thing for books for a @CAPS5 in a while people need fresh air. too but learning about nature is more nature. If you dont enjoy nature you dont know what is going on.NAture is all around us and why would you miss out on. in a survey taken in a local magazine @CAPS1 should that @PERCENT2 of people are on computer and. While people enjoy computer, nature. Lastly, people are spending too much time on their computers and less time exercising. Exercise is important for the mind and body. Our bodies need to stay healthy and fit. The lack of exercise is increasing fast. The more people get computers the people exercise. America is over weight already to join the People on computers most just long to become over weight. People rather play on computer that got exercise for a healthy body. Dr. @DR1 a local doctor, has seen more people become over weight and not exercise as much as they used to. He says computers do not provide exercise. He recommends that people use their computers less computers are doing more. In conclusion, I think computer negative effect on. My three reasons are that people are not interacting with friends and family, not enjoying nature and getting less exercise. I you to be in of negative effects on people. @CAPS1's important decision is up to you. ",4,5,,9,,,,,,,,,,,,,,,,,,,,
