essay_id,essay_set,essay,rater1_domain1,rater2_domain1,rater3_domain1,domain1_score,rater1_domain2,domain2_score,rater1_trait1,rater1_trait2,rater1_trait3,rater1_trait4,rater1_trait5,rater1_trait6,rater2_trait1,rater2_trait2,rater2_trait3,rater2_trait4,rater2_trait5,rater2_trait6,rater3_trait1,rater3_trait2,rater3_trait3,rater3_trait4,rater3_trait5,rater3_trait6
1185,1,"Dear @CAPS1, People like computers, @CAPS2 a known fact. They are very much like a dry, addicting and irrestable. Despite what people believe though computers are very good for our daily lives. You can communicate play @ORGANIZATION1, listen to music watch movies, even learn a language on the computers. So in all ways, the computer is anything but bad. @ORGANIZATION1 are fun. They help us relax. In todays age, @ORGANIZATION1 just don't give people the joy they experienced when younger. Computer @ORGANIZATION1, they are the replacement. Imagine playing baseball with a friend who lives miles away from you, while still being a kid in @LOCATION1, or set in your exercise adventure. Computer @ORGANIZATION1 broke the border giving you a higher level or ""You got mail"". Many people hear that sentence more than once everyday. By many, I mean millions. @CAPS2 a alert saying that someone sent you a email. @CAPS4 are messages. Sent over the @CAPS7, faster than any service. Instead of waiting @NUM1 days for a letter, In a matter of minutes you can have a message sent to your friends. Microsoft @CAPS3 @CAPS4, and other electronic messaging systems are a superior form of communication, these let us speak to the world! Although it sounds silly, @CAPS5 you wanted by you could send a message to anyone with a message box. Lets say you went to watch a certain movie, but you don't own it. With a computer with a dose drive, you can watch any @CAPS6. Better yet, you can download the movies media are available @CAPS7, with you able to watch them with the click of the mouse. Computers are filled to the top with gadgets & accesories that make our life easier. @ORGANIZATION1, movies, @CAPS4 anything you is not likely on a computer. They are the perfect tolls in modern society.",4,4,,8,,,,,,,,,,,,,,,,,,,,
13358,5,The mood created in the memoir is love and care because this family of Cuban use to live in a @NUM1 apartement building now the live in a @NUM2 bedroom apratment. Now they are inviteing people in treating people and family member's with love and care and that will rub of the kid's and it is a good thing that they did that and Also that the neighborhood was good.,2,2,,2,,,,,,,,,,,,,,,,,,,,
486,1,"Dear @CAPS1, @CAPS2 much do computers affect our life? I have always thought of that question. Technology is getting up to the roof and it makes our life more easier, but have you ever thought that maybe technology might take people's work? In everyday of our live we see something new that comes out and becomes an easy tool for us. But what about us? Since technology come out people has become not the same; for example cars, by having them people doesn't walk and not even exersice, they don't spend too much time with their family and friends and lastly people miss thousands of wonderful things that happend outside. I just think that technology like computers take a whole quater of our life by mostly doing the work for us. First, have you ever, notice that people get obiese so fast? I know the answer to that question. The obesitity in @LOCATION1 is getting worst, people are getting fattier by just been in a cautch and sitting with a computer and eating, what exersise are they doing there? People doesn't exersise anymore, instead of them playing games like, soccer, volley-ball, baseball or even running, @CAPS3!! They are at the computer playing games that doesn't do anything good. I have asked people about what they think about this and this is what a woman answer, "" I htink that people doesn't think about their health, they just think to make life easier"". I agree with her; obisitty could bring you to the hospital and you don't want that. Second, have you ever asked your self about @CAPS2 much time you ever spend with friends and family? Well think of that. Maybe you got a computer because you were spending too much time outside bu not with your family, but you can see that you're probably most of the time at home since you bought your computer, but not with your family. Spending time with your family is so important because you might miss so many wonderful things. For example family parties, or just watching a show on the t.v. I just think that spending time with your family is important. Lastly, if you are a parent and you are too much in a computer, won't you feel bad if something happend with your son/daughter? In everyway we always miss wonderful things, and sometimes we loose it because of technology, you don't want that right? Imagen you are at the computer and your daughter said her first word won't you feel bad if you missed that? I would. Always give time to life because maybe one day you might hate your self for missing so many wonderful things. In conclusion, so many people have become addicted to computers, they just can't lieve it alone. Imagen that you become one of them. You becoming obise, not spending time with family and missing wonderful things that the world provides us. I hope you understand that technology is not everything in life.",4,5,,9,,,,,,,,,,,,,,,,,,,,
10534,4,"When they come back, Saeng vowed silently to herself, in the spring, when the snows melt and the geese return and this hibiscus is budding; then I will take that test again. The author concludes this story Winter Hibiscus with this paragraph because in the story it's about Saeng and she fails her drivers test, and notice a familiar plant which causes her to go to a florist shop. As Saeng learns about this familian plant it encourages her to retake that drivers test, to where as though the snow is gone and the sun is shining.	1	1		1																					
10535	4	I think the author concludes the story with this paragraph because she is basically trying to say in the spring when the snow goes away and the hibiscus start growing she will test the plant again       	0	0		0																					
10536	4	The author concludes the story this way to show that Saeng still has hope to succeed and adapt in this new country. She previously had a lot of home sickness, missing her grandmother and keepsakes from her child hood. The height of her homesickness is seen when Saeng comes back to her house and is explaining to her mother the nature of the hibiscus. “She found that she was still too shaky to say the words at home, lest she burst into tears again.” Saeng is uncomfortable living in @LOCATION1 and wishes to go back to Vietnam. Butt by the end, Saeng’s attitude changes from despair to hope. Even though she has failed her driver’s test. Saeng is determined and hopeful to do at least something in this new country by saying """"...then I will take the test again.” Saeng has changed a good deal within this story and that change in attitude is seen with the exerpt on geese in the last paragraph.""",3,2,,3,,,,,,,,,,,,,,,,,,,,
9318,4,The meaning of the last phrase is to see if the winter hibiscus canre seed and go threw everything to become a flower for the year and repeat the process. ,0,0,,0,,,,,,,,,,,,,,,,,,,,
671,1,"Dear @CAPS1 @CAPS2 I felt shoeked to see that there are people that beileve that computers don't benefit society and after hearing that I felt compelled to share my opinions. They help socitey. They help us communicate, do important thing have fun. Computers help us communicate in many ways. We all want to talk to our freinds, but we can not be with our freidns all the time, so there is she internet to help us. We also all have freinds we don't see very often, but we still want to talk to them so with is intenet we can talk to them as long as we went. Computers also help us make new freinds. They can also ehlpo us have fun. Computers are fun for many different reasons. Social networking sites, like facebook or myspace, are fun to be on. There are many fun things to do or the internet including video games, many video games consoles are attatched to the intenet so you can play with your freinds. But computers arent just all fun and games. Computers can transfer very important information including homework after schol activities. Computers also hold all of our governments information, from thingsas insignificant as plans for renovation on a town owned building to the department homeland security to the united states of without computers none of that would be possible. This should have conclude you that computers nessesary in our every day from communication, to very things computers have helped us and will to help us in the future.",4,4,,8,,,,,,,,,,,,,,,,,,,,
9360,4,"I think she ended the story with that because throout the wole story she trys to work hard. And this last sentence is saying that its not over, That she will be back to take the test again. She trys to prove herself during the whole book. And she will continue working hard to get what she wants  ",1,1,,1,,,,,,,,,,,,,,,,,,,,
9214,4,"The author concludes the story with, “when they come back, saeng vowed Silently to herself, in the spring, when the snow melts and the geese return and this hibiscus is budding, then I will take that test again”, to show that even though she failed her test she isn’t giving up and that she will persevere over this and continue to try. This ending shows the determination in Saeng’s heart. Saeng has enough determination inside of her to go on even though she failed her test and failed her grandmother to continue trying and continue to try to complete for her grandmother and herself. I really liked this ending and I am glad that the author decided to use this ending in the story.",1,1,,1,,,,,,,,,,,,,,,,,,,,
19094,7,"When I had to go to the doctor. I had thought that I would be in front. It was over @NUM1 people there in line when we got there more people was still coming. I had to get my shots. So we had to wait patiently. But my mom could not wait because it was so many people there in front of use. So I fell asleep. She was still walking around. So wen I woke up five people had already gone by. She still could not be patient, still walking around making me nervous then another @NUM2 went by its going really really slow. Then she finally cooled down. She was so patient because they said they was going to put her out. I have never seen her so patient it was no believable.",9,8,,17,,,2.0,2.0,2.0,3.0,,,2.0,2.0,2.0,2.0,,,,,,,,
4692,2,"Is there a song that your parents wouldn't let you listen to when you were a child? When you sang this song did they yell at you and ground you because they had told you many times before that you weren't allowed to listen to it? How about a movie that you wanted to go watch because it was what everyone was talking about but it was rated @CAPS1 so you weren't allowed to watch it. That book on that shelf that you accidentally ran into while doing a research project. Containing inappropriate language and terms. There is much media and books that are out there that parents wouldn't want their children to read. But over all there is the government who censors things going on around the world. Censoring can have good and bad qualities.     In my experience I've noticed that people that know less tend to be more happy than people who know more. But if you are able to read and or watch these censored materials you would see the idea from a certain point of view, and maybe agree with the person. Most news is about things that are bad, rarely any good news comes around. For example if something were to happen in @LOCATION1, where thousands of people were being used to test if lions liked to eat humans, the government would censor the news to the people in their country due to any reason. If there was movie that was made that was racist against @CAPS2 people the government would probably censor it. Things that look bad tend to be censored.     I've noticed that people who read censored material feel special because they read or saw something that wasn't supposed to be known by the rest of the population. A lot more freedom of speech would occur if censored material wasn't censored. People also tend to become mad when they find out that material is being censored because they feel like something is being hidden for them, could be valuable information.     In reading I have noticed that societies that practice censorship tend to have angry citizens. But in the other hand if they believe that it's for the good of the society then they accept the fact that it's not good for them. People also want to be given the right to make their own decisons. In a censored civilizaton they have no idea what is going on outside their borders and are usually clueless or being lied to by their government.     Censorship can have good and bad qualities. People tend to be offended when material is censored, but it's probably for the best for them. Hidden information could be good and bad but mostly bad, most people want to know the truth rather than a lie. Censorship is just bad in general, people should have the right to make their own decisions on what they want to read or watch.",4,4,,4,4.0,4.0,,,,,,,,,,,,,,,,,,
792,1,"Computers are good for school uses, skills, and just for fun. Computers are a good source to have, now that is just my opinion. But, I think computers are mostly for pre-teens and teenagers. Adults mostly use them for business. The fun uses that the computer provides are @CAPS1, @CAPS2, @CAPS3, etc. @CAPS1 is one of the most popular chat groups on the internet, @CAPS2 is another popular chat group. They both have some of the same characteristics like chatting to your friends, updating your status every now and then uploading pictures, songs, etc. There are websites that could be used for free time like music websites where you are allowed to watch music videos or downlosd music onto your ipod. @CAPS3 is a website teenagers of kids go on to watch some of their favorite music videos. Itunes is the program where you can download any song, music video, tv show, or movie onto and ipod. Computers also provide microsoft @CAPS5, publicher, powerpoint, etc. All these can be used for school purposs. @CAPS5 allows you to type up anything you want for school. You can type up a @NUM1 page essay if you wish. You can cut and paste pictures for a project you might have due. You can change the colors, font size, and font style on @CAPS5. That use could be for a design on the front of a cover page for an essay or project. Publisher can be used for projects as well. In school of you need to make a newspaper, flyers, business cards, etc. publisher alloews you to make them. Powerpoint is a program where you can make different slides in anything. Computers can be put to good use for many different things. If people don't agree with that then they don't understand that computers help children and adults with everyday things. Some kids who have special needs @MONTH1 need the computer to comunicate with others. Computer, I think, are a big help in the world.",4,4,,8,,,,,,,,,,,,,,,,,,,,
7050,3,"Throughout his journey, the protagonist in the story encounters obstacles in the setting. First off, he is cycling in the hot, dry, desert. There is no civilization or natural water source, so he faces dehydration. Additionally, the terrain he was riding on proved difficult. He encountered rolling hills that took a lot of energy to ride up. There were even signs for “rough road ahead,” @CAPS1 obstacle was a mental obstacle. He came across an abandoned juice factory when he needed an occupied building. These were ironic and mentally frustating. The cyclist must have lost hope in @CAPS2 civilization after he found @NUM1 abandoned examples of civilization. This discouragement must have made his journey more mentally challenging.",3,3,,3,,,,,,,,,,,,,,,,,,,,
15931,6,"Based on ""The Mooring Mast"" written by Marcia Amidon Lüsted, the builders of the Empire State Building faced many obstacles in attempting to allow dirigibles to dock there. Constructed in the 1930s the Empire State Building was originally built to exceed the height of the Chrysler Building; it was going to stand at a whopping 1,250 feet tall. What added to this building's height was its great mooring mast that stood atop the building Dirigibles, very similar to balloons, were gaining popularity in the aviation world. However, there were many issues that held back the progress of this project. Most of these issues were safety problems. One practical reason why dirigibles could not moor at the Empire State Building was because of an existing law against airships flying too low to urban areas Another reason was the flammibility of these ships. Most of them ran on hydrogen rather than helium. Hydrogen is very flammable and if the ship exploded many civilians and passengers would be killed. In summation, because of safety risks, the mast of the Empire State Building could and was never used for its original purpose.",2,3,,2,,,,,,,,,,,,,,,,,,,,
4379,2,"There is many different topics that could be offensive, @CAPS5 just depends on the person's own personal judgement. In my opinion I do not believe that materials should be removed because not everyone has the same view or opinons. If someone comes from a different country or evern a different religion, topics like abortion and racism are going to be viewed very differently. I think having a variety of topics will help expand different thoughts and make the readers of the material see things in a different way.      When I am older and if one of my elementary children was to bring home a book over abortion, I would be concerned. Honestly though, I do not believe schools would let inapropriate topics for younger childeren read books like that. @CAPS5 is a little bit different with a @CAPS1 @CAPS2 student though. Their maturity level is going to be mature enough to handle the material and I do not think @CAPS5 is right for schools to remove something that could actually help someone.      In the book, 'A @CAPS3 @CAPS4 @CAPS5', there is a lot of detailed events that happen. Some might say @CAPS5 is too graphic for children but the reality of @CAPS5 is, events like those happen in today's society. @CAPS5 really opened up my eyes and I am extremely happy I read @CAPS5. The realization actually made me want to help those children who grow up in homes like the one described in the book. I believe @CAPS5 had the same effect on other people too and some children might even grow up to help others in that horrible situation.      Libraries should be able to have a variety of different books. I am not saying however that they should have books on murder and saying @CAPS5 is alright but books that will help expand the children's minds. @CAPS5 could even change their lives. Some books are a sensitvie topic but who has the right to tell someone something they should believe? @CAPS5 would mean more to someone if they found their own way and beliefs then having people tell them what they should and should not do or believe in.      I have also read a book recently titled, '@CAPS6', @CAPS5 is about the government granting the ability to @CAPS6 your children and then the body parts will go to those in need. @CAPS5 is sort of cruel in one way but the topic the author is trying to get across is not. A quote from the book is, 'On one side you have people killing abortion doctors for the right of life and on the other you have people getting pregnant just to sell their fetal tissue'. @CAPS5 states that everywhere you go people are going to disagree and agree on things but not everyone will believe in the same thing. @CAPS5 shows that just because one person thinks one way is right does not mean another will. The book changed my perspective on many different topics and helped me open my eyes on different views.      Racism, abortion, @CAPS3 abuse, unwinding your children, what ever the case @MONTH1 be, some people will support @CAPS5 and some will not. I think @CAPS5 is time for children around the world to discover for themselves what they truely believe in and taking 'offensive' material from @CAPS2 libraries is not going to help any. My opinion on this topic is strongly advising to leave the material alone because for there to be a book about @CAPS5, the author had to have had a reason to write @CAPS5 and honestly, what is better for the future then a generation of children grounded to their own true beliefs",4,4,,4,4.0,4.0,,,,,,,,,,,,,,,,,,
6915,3,In Joe Kurmaskie’s “Do Not Exceed Posted Speed @CAPS1” the imagery is what sets the cyclist back. The scorching dessert and plant life gives him a sense of seclusion and scares him. Because the cyclist is in the  dessert he keeps on worrying about his water and heatstroke where as if he where in a rain forest he wouldn’t worry about water or heat. I think he siked himself out just by taking in his sorroundings. If the cyclist would have pictured water all around him and arctic like temperatures I think he wouldn’t have been so worried. What’s interesting about this story is that if he would have gotten himself prepared mentally for the conditions he wouldn’t have struggled so much at the end. “At some point tumbleweeds crossed my path and a ridiculously large snake- it really did look like a diamond back blocking the majority the pavement in front of me.”(Kurmaskie @NUM1). If the cyclist word of concentrated more on the task at hand and less on what was going on around him I think he would of succeeded without as much stress.  ,2,3,,3,,,,,,,,,,,,,,,,,,,,
