essay_id,essay_set,essay,rater1_domain1,rater2_domain1,rater3_domain1,domain1_score,rater1_domain2,domain2_score,rater1_trait1,rater1_trait2,rater1_trait3,rater1_trait4,rater1_trait5,rater1_trait6,rater2_trait1,rater2_trait2,rater2_trait3,rater2_trait4,rater2_trait5,rater2_trait6,rater3_trait1,rater3_trait2,rater3_trait3,rater3_trait4,rater3_trait5,rater3_trait6
10319,4,"In the story “Winter Hibiscus” by: Minfong Ho, a girl named Saeng is try to adjust to @LOCATION1 coming from Vietnam. She is sad and misses her home, especially after failing her drivers test. She walks by a store and recognize a plant from her home. She buys it and takes it home in a pot. She says thinking of home and all the great memories she shared with a plant. Her mother then comes and shares the moment with her. Saeng feels better now. In the end sentence the author includes “saeng vowed silently to her herself, in the spring when the snows melt… and this hibiscus is budding, then I will take that test again.”(Ho, ??)  the flower has given her the conbidence to socceed and she wants to take the test again. This shows the connection she has with her home and the flowers. She wants to overcome her sadness and plan onward not leaving her memories behind but her pain.",2,2,,2,,,,,,,,,,,,,,,,,,,,
12967,5,"In the memoir this is how the author created the mood, he tells of how his parents lived in a house where it was very poor at that time. His parents immigrated to @LOCATION1 where Narciso was born. he was raised in the ghetto. When he was living here it was during the time of racism and segregation. Narciso didnt know his real grandparents until 1970 when they were allowed to leave cuba. This was how the author created the mood.",0,1,,1,,,,,,,,,,,,,,,,,,,,
21122,8," The wind rose and fell, whipping against the side of the house with full force. My mom said she had never seen such a fierce storm before in her life. It shook the house making it creak in odd places, like the floor boards. My @CAPS2 @PERSON1 sat at the kitchen table contemplating, worrying. They had rental houses acres off that were surrounded by trees, the ground was so soft ,so saturated by the rain and flooding that had taken over the valley. There were already hundreds of trees that had come uprooted there were bound to be more. The little homesteads that rested off of @LOCATION1 @CAPS1 including my papa's were well built weathered farm houses,most were surrounded by hundreds and hundreds of acres of land. You would be surprised to find someone out there with less then @NUM1 acres of land. It's wheat fields mostly, but you can easily find fields of corn, alfalfa, you'll find rows and rows of blueberries so big only @NUM2 can fit on the palm or your hand. It is literally paradise on earth, a small piece of heaven that was thrown down to earth by either accident or purposely. The sun is so bright and the sky is the clearest, most crisp blue. When weather rolls in giant fluffy clouds make the sky look like it's dappled with giant pieces of cotton. All this stretches over land so flat you wonder if it could possibly be real. I have spent so many wonderful , laughter filled summers there. Running bare foot through the fields, playing in the large expansion of lush, green grass. Feeding the goats, chickens, and pigs with my siblings. On @DATE1 my mom said she had never seen a place so beautiful turn so ugly in such a short period of time. My mom says if she had known what was going to happen that day she never would have let them get in that car. My papa, @CAPS2, and @CAPS3 @PERSON2 pulled out of the driveway. Since it was a small car my @CAPS2 volunteered to ride in the back. The storm had been showing it's vicious temper for over two hours, and it showed no signs of letting up. They had set out to see what damage had been done on their acres of land, to see what needed fixing once this storm moved on over the mountains. There is no explanation, no one understood why my @CAPS3 walked away with not even a scratch on his body. No one knows how the tree fell or why it only landed on the back end of the car, but it did. Gods hand had swept down and caused destruction. My @CAPS2 was killed instantly, my papa was seriously injured but alive. He spent weeks in the hospital, during those weeks the news of the accident spread like wildfire as news does in a small town. Everyone loved my @CAPS2, she was social butterfly that fluttered from person to person , laughing, talking , sharing tears, and joy. She knew everybody, and everybody knew her. The heavens cried and howled that day, rain drops fell so heavily it felt as if the whole world was crying, crying just for you just to share your grief. It's painful, to lose someone so dear to your heart. My papa cried, he sobbed until he had no strength left to feel any emotion at all. he loved her so much, he needed her . Lightning struck the giant oak that stood tall and proud in my papa's backyard that day. It was the same tree that held my grandparents initials. The lightning split the top of the giant oak clean in two. Everyone saw it as a symbol, sign of how my papa and @CAPS2 had been struck apart quickly and forcefully. But, days before my papa returned home from the hospital, my dad climbed that giant oak and chained the severed part back together. With that my dad had made a symbol of his own, saying you will always be together just not physically, but you will never be truly apart. The day my papa returned home he saw the giant oak, and for the first time in weeks a glimmer of understanding shone in his eyes. A small amount of hope had settled over everything once again. Her funeral was a nice affair, elegant, simple, beautiful, just like her. The whole town came, they reminisced for hours, telling stories about my @CAPS2 and her crazy yet lovable nature. Then from across the room it came. Small at first then growing ever louder. Laughter. A smile, yes there were tears with that laughter, but it was laughter all the same I've never seen the saying "" laughter is the best medicine"" put to justice better. My @CAPS2 was one person who saw laughter, love, faith and hope as necessities in life. She brought joy to so many people, and now they were returning the favor.",25,21,,46,,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,,,,,,
16290,6,"The builders of the Empire State Building faced numerous problems dealing with the mooring mast. First of all, I would say safety was the number one issue. If the dirigible were to catch on fire, it could land on the main streets of New York City, posing a hazard to hundreds of pedestrians. Also, the weather was another factor. If it were too windy to fly all the time, then the mast would be a waste. When I read that they had to spend <@NUM1</@CAPS1> to modify the building's framework,""  I started thinking of all the other things a town could do with @MONEY1. There was also an existing law that made it illegal for any airships to be even remotely close to the Empire State Building. Overall, the idea of the mooring mast was just a very poorly planned the idea.",2,3,,3,,,,,,,,,,,,,,,,,,,,
17854,7,"One day, a few years ago, I woke up and my mom said we were going  to my grandma’s house. So started to get ready. After I was done getting dressed I looked on.  My dresser and grabbed my @MONEY2 @MONEY3 that I was saving up to buy something just incase we went to the store When we got there I saw my cousin’s dad @CAPS1 walking a puppy. I walked up to him and asked about the dog, he said it was his brothers dog and he was selling it. My mom said I could get a dog so I asked him how much did he coast. @CAPS1 said @MONEY1. I got really excited because I had @MONEY2 and could get @MONEY3 from my granding. So I called my mom but she was busy somewhere else but she told me that she wanted to see the dog before I buy him. So @CAPS1 waited their for hours but my mom took forever. Then finally I got impatience and bought him. But my wow wasn’t mad because she ended up liking him",10,11,,21,,,2.0,3.0,2.0,3.0,,,3.0,3.0,2.0,3.0,,,,,,,,
19251,7,one time I was in  patient. We was an are way to see the point. The had family was with us. We all was in @NUM1 car and vans. I was like and the van @NUM2 and the car and @NUM3 in the car.  It was like a @NUM3 hour drive. I was in the car with my mom and @NUM1 sister. We was and takere for like a hour. First I was on the fane then I was just having a family talk bye like an hour I was so in patient. And all I could here was my mom like be patient we gone get there. I’m like no no I want to be there @CAPS1. She like we got all day. Then we stop to get something to eat. Then we was there.,7,4,,11,,,2.0,2.0,1.0,2.0,,,1.0,1.0,1.0,1.0,,,,,,,,
20777,8,"                 A @CAPS1 @CAPS2  I once heard ""laughter is the best medicine."" I believe that is true. I could laugh all day long, finding anything @CAPS9 everything funny in @CAPS3 world. Laughter is important to me, without it, life would be boring. Sometimes Laughter is good @CAPS9 comes from the heart. Other times it can be cruel @CAPS9 mean. I like to avoid the cruel @CAPS9 mean laughter, @CAPS9 just stick to the good laughter. When one of my friends is laughing @CAPS9 smiling, it makes me want to know @CAPS10 they're laughing about, so I can laugh too.  Birthdays are fun, laughing usually comes with fun. I remember my twelfth @CAPS2, I decided to have a party at my house. I wanted it to be very special so I invited my closest friends, @CAPS9 my cousins. Family always makes everything special. My cousin @CAPS9 I are pretty close, she was born nine months after me, so we are both the same age for a little while. We always have a good time, both of us acting crazy @CAPS9 always laughing. For my party my mom made rainbow sherbert punch, it was delicious. Everyone had fun, @CAPS9 soon the party was over, but, my cousins were not leaving until the next day so we continued the party. I was in the kitchen getting more punch, my cousin came in @CAPS9 wanted some more too. I poured both of us a glass. ""@CAPS3 is so good!"" my cousin @PERSON1 said. ""I know that's why I had my mom make it"" "" @CAPS4 you wanna hear a joke?"" ""@CAPS5."" @PERSON1 said. ""@CAPS6, @CAPS7 once was a kid named butt itches, he was really sick @CAPS9 one day died, his mom cried to the doctor,""@CAPS8 my poor butt itches!"" ""@CAPS9 @CAPS12, @CAPS4 you wanna know @CAPS10 the doctor said?"" ""@CAPS10?"" @CAPS11 @PERSON1. ""@CAPS12 itch it!"" @PERSON1 had just took a drink of punch when I said @CAPS3. She spit the punch out of her mouth while laughing, it got all over me. Usually when someone spits, or spills something on you, you get mad. I started cracking up laughing, @CAPS9 so did she. ""@CAPS8 my gosh! That's so gross."" ""@NUM1 @CAPS9 I could not stop laughing. The joke was not that funny, it was the punch all over me @CAPS9 the kitchen. We laughed for at least fifteen minutes before even realizing that both our moms were standing in the kitchen. They were just staring at us wondering @CAPS10 in the world had happened.  You would think that getting punch spitted at your face, on your @CAPS2, would make you mad. @CAPS3 is why laughter makes ordinary days special. In my case laughter was the shortest distance between @PERSON1 @CAPS9 I. It would have to be short for her to get that much punch on me. Laughter made @CAPS3 @CAPS2 extra special, because I will never forget my twelfth @CAPS2.",20,20,,40,,,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,
7697,3,"The features of the setting affect the cyclist. It seems to be the more despirate the situation the more determand her becomes. Pg @NUM1 (I was going to die and the birds would pick me clean). Right after he thinks this he climbed away for the abandoned factory of Juices and dreams. He says pg @NUM1 come troubles, thirst and tean where all behind me, this shows that after a situation the bilaver tells realeoved of all earthley obligations. Not only does the settings affect the cyclist but the entire story around him.",2,2,,2,,,,,,,,,,,,,,,,,,,,
7414,3,The   features of the setting affect the cyclist because he is in a hot of dry place and has no water. He is pedaling up hills and that makes him even more tired. The dude is probably dehydrated and   his  conditions   are getting worse!,1,1,,1,,,,,,,,,,,,,,,,,,,,
4711,2,"Censorship in the @CAPS1     @CAPS2, what is offensive to some @MONTH1 not be to others. So how do we know when expressing ourselves in an artistic manner that we've gone to far? We don't and thats why censorship is such a controversial topic.      In the music industry recently there has been messages in songs and music videos that aren't the best suited for teenagers. Being a teenager is a time of constant turmoil in one's life, you are required to make decisions that will define you as a person. When songs out there are about drug use and other crimes teens see them as cool things and follow along cause they see them as everyday activities that can do no harm but little do they know that they are wrecking their life by doing this, so I somewhat agree with censorship in that kind of thing.     In literature and art things take a more serious tone than in music and other media. With literature it's about conveying ones thoughts and feelings about a story or other subject. In art you express yourself vissually on a canvas or abstractly through other materials and forms, but in both ways you express your feelings and emotins. So censoring these would in turn censor one voice and emotions. When you take away a man's voice and emotions you are left with an empty shell of a person who will never know life to the fullest.     As time has changed I have found that people have also changed. When @PERSON1 uses the '@CAPS3-word' in some of his literary works it didn't offend people at the time, but now times have changed. Now it's not ok that @PERSON1 used this word but on the other hand it's ok for rappers and others to say it every other word in their music. so how do we know what's offensive and what's not? well it's all from the reader, listener, or viewer's point of view.     These days parents try to sheild their children from the outside world and make it seem that it's all rainbows and butterflies by censoring things the children might be subject to read, hear, or see in their day to day lives. This does not solve the problems in the world there will always be war, crime, and death no matter how hard we try to stop it as long as there's 'good' there will always be 'bad'.     All loyalties aside in my honest opinion I believe censorship in the @CAPS1 is a bad idea and will never work to solve actual problems with the world. It will just cover them up just like the dialouge or image they so badly want to go away.",4,5,,4,4.0,4.0,,,,,,,,,,,,,,,,,,
