essay_id,essay_set,essay,rater1_domain1,rater2_domain1,rater3_domain1,domain1_score,rater1_domain2,domain2_score,rater1_trait1,rater1_trait2,rater1_trait3,rater1_trait4,rater1_trait5,rater1_trait6,rater2_trait1,rater2_trait2,rater2_trait3,rater2_trait4,rater2_trait5,rater2_trait6,rater3_trait1,rater3_trait2,rater3_trait3,rater3_trait4,rater3_trait5,rater3_trait6
6427,3,"In the start story ìDo not exceed speed limit,î time of year and place setting were the main things that affected the cyclist. This story takes place in the deserts of california in June. The fact that the story took place in June (and especially in a California desert) really is what caused the cyclistís dehydration. Anywhere in this country, June is summer, and summer means that it gets hotter and more humid than usual. This heat cause the dehydration and the ""growing realization that I (the author)",1,1,,1,,,,,,,,,,,,,,,,,,,,
7515,3,"The cyclist ìDo Not Exceed Posted Speed Limitî was definatly affected by the setting. He was cycling in California - which is a hot place to begin with - in June - which made it even hotter coming upon a hot desert. When youíre doing a physical activity like that, the last thing you want is to be in the heat. The narrator only brought one bottle of water which at first he was drinking regularly. Then it started to get hot and he was out of water. This affected his body by making him tired, and his mind because he started doubting himself. Then there was the abandon juice building where they made juice. He said ìIn an ironic twist abandon years earlier had been a Welchís grape juice factory and bottling plant.î He was dying of thirst and then he found the bottling plant. The cyclist was definatly affected by his surrondings both mental - by saying ìIím going to die.î - and physically by becoming dehydrated.",2,2,,2,,,,,,,,,,,,,,,,,,,,
966,1,"Dear the daily newspaper crew, I have seen some of your own disagree about using computers. I for one believe that using a comenter really isn't that bad. For example, the computer is actually good for education. Many use them to create @NUM1 images of things for schoolprojects or science fair projects. I use these machines to play video games on to cure my boredum like most young teens and children do. Unlike most people I dont stay on it forever. I usually play for a couple hours. There are some downsides to having computer in the house. For one the machines use up load of energy in the house making the electric bill rise and @DATE1. On some websites there are people who try to be a stalker like the website my space and twitter but on the bright side these who try to be a stalker usually instantly get caught and put in jail. Computers actually have a positive effect on the mind and movements. For example children who have computers learn how to fly a kite or for themselves with their parents watching and they learn hand-eye. Many children who play sports that have computers actually manage to catch a ball faster than usual. So you see computers are not that bad. So please think of what will happen to children if computers are banned.",3,4,,7,,,,,,,,,,,,,,,,,,,,
7534,3,"The features of the setting cause the cyclist two main problems: doubt and dehydration. From the essay, you can infer that the cyclist doubts he will ever make it to Yosemite because of the constant features in the essay that cause him to lose his hope and confidence. For example, near the end of the essay the cyclist is already exhausted and hopeless but then sees a building over a hill. He hurries to the building only to find out that it is an abandoned, runñdown @ORGANIZATION1 factory. After getting his hopes up, he is forced to get back on his bike and carry on. This features of the setting causes further disappointment to the cyclist and installs more doubt into his mind. Despite losing his confidence and hopes to make it to Yosemite, the features of the setting also cause him a serious, literal problem: dehydration. The weather is not and he has to carry on over hills and on rough roads. He is running low on water and at the one town he finds the water from the pump is undrinkable. The features of the setting are causing him these problems and are the reason hid health is at risk.  ",3,3,,3,,,,,,,,,,,,,,,,,,,,
6398,3,"In the story the cyclist is affect by many features of the desert. The main feature is the heat. ìI was traveling through the high deserts of California in June."" Heís also running low on water,ìThe water bottles only contained & few tantalizing sips.î Heís faced by extrem heat and lack of water. Heís tired and has a long way to go. So far, all of the towns have been deserted. Finally he reaches a bait shop and his water and refills his water and promised to stick to the map in the future.",2,2,,2,,,,,,,,,,,,,,,,,,,,
10105,4,"I believe that the author left this as the last thing the reader will read, so it will be a message. In the story this girl has now moved to this totally new environment and new culture. The only thing she knew of was a flower that grew wild where she lived. This little vow to herself was a message to not give up. Keep on going and if you open your mind to new things who knows what you can experience and learn. So this girl didnt just give up. Her plant was like a representation of a new beginning. When her plant starts over then so will I. Also it can be a representation of her life itself. I say a new begging because in the text, it says,",2,2,,2,,,,,,,,,,,,,,,,,,,,
10044,4,The author concludes the story with this paragraph to show that Saeng isn't going to give up.,1,1,,1,,,,,,,,,,,,,,,,,,,,
9009,4,"The author concludes the story with the last paragraph. The author chose because the sentence informs you Saeng will take the test agin. In paragraph @NUM1 Saeng tellís her mother she faild the test. So by the time spring comes around the hibiscus will start budding and Saeng will retake the test. Also the geese left the home temporally because of snow. So she sort of compares herself to the geese because she missis her home. The geese will return when the time is right, that is what the author concludes in the storyís paragraph.",2,1,,2,,,,,,,,,,,,,,,,,,,,
11969,5,"The autor created a good mood in the memoir because, when you think about how sticked those people were, you have a warm feeling inside.The parents left their country and came in another without any knowledge of her language and her culture, they had to start over their lives with the job they could find because they wanted a good life for their child. They handed a hand to people who were in need, considered all their neighbors as family and they taught their children the real definition of ""family""",2,1,,2,,,,,,,,,,,,,,,,,,,,
13172,5,"Home is where the heart is, and nothing says that more than in the memoir Home: The Blueprints of My life. In the memoir, it talks about family and that where ever your heart is, is where your home is. The memior and gives a tingling and loving mood. It makes us feel happy and feel loving, especially in a few sections.First, when the author talked about what his familly did at home, it made theworld slow down and think about the family. Narcisoc (the author and narrator) said in paragraph two, ""endless celebrations and that encompassed both, formed the back drop to our life in our warm home"". This made a picture of a happy and laughing family like in the movies about the holidays.Second, Narciso said how united they all were. This painted a mood of unity and care. In paragraph four @PERSON1 recalled, ""My parents always kept thier arms and thier door open to the many people we considered family, knowing that they would do the same for us"". The makes the reader think of friendship and hope in trouble times.The mood that came was loving and that tingling feeling of hope. Most people can't find that feeling anymore, especially in these tough times. What most people do know is that and home is not a building, it's a santurary.",3,2,,3,,,,,,,,,,,,,,,,,,,,
